sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;cd_cargo;nm_regiao;qt_votos_nom_validos;nm_mun_clean;geocodigo
MA;ALTO ALEGRE DO PINDARÉ;Prefeito;10;ZOZIMO AUGUSTO NERES DE CARVALHO;REPUBLICANOS;REPUBLICANOS;Não eleito;11;NORDESTE;5604;ALTO ALEGRE DO PINDARÉ;
BA;PRESIDENTE DUTRA;Prefeito;55;ZOROELIO PEREIRA MACHADO;PSD;PSD / PSB;Não eleito;11;NORDESTE;1086;PRESIDENTE DUTRA;2925600.0
BA;CONDE;Prefeito;13;ZIRONALDO NUNES BARROS;PT;REPUBLICANOS / PDT / MDB / PSB / PSD / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;6828;CONDE;2908606.0
MG;TURMALINA;Prefeito;55;ZILMAR PINHEIRO LOPES;PSD;PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PODE / AVANTE / UNIÃO / PRD;Eleito;11;SUDESTE;8579;TURMALINA;3169703.0
GO;SERRANÓPOLIS;Prefeito;11;ZILMAR FERREIRA DA SILVA CARVALHO;PP;PP / MDB;Eleito;11;CENTRO-OESTE;3658;SERRANÓPOLIS;5220504.0
CE;SENADOR SÁ;Prefeito;40;ZILMA SOUSA ARAUJO CORDEIRO;PSB;PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;1875;SENADOR SÁ;
RS;CAIÇARA;Prefeito;15;ZÍLIO ROGGIA;MDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / MDB / PL;Eleito;11;SUL;1748;CAIÇARA;4303400.0
MG;TOLEDO;Prefeito;45;ZILDO ALEXANDRO DE OLIVEIRA;PSDB;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;3104;TOLEDO;3169109.0
SP;SILVEIRAS;Prefeito;13;ZILDINEI CAMPOS DE OLIVEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;376;SILVEIRAS;3552007.0
MG;CONSELHEIRO LAFAIETE;Prefeito;13;ZILDA HELENA DOS SANTOS VIEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;5022;CONSELHEIRO LAFAIETE;3118304.0
RS;ROSÁRIO DO SUL;Prefeito;10;ZILASE JOBIM ARGEMI ROSSIGNOLLO;REPUBLICANOS;REPUBLICANOS / PP;Não eleito;11;SUL;6053;ROSÁRIO DO SUL;4316402.0
PA;SANTARÉM NOVO;Prefeito;55;ZEQUIAS BARROS CHAVES;PSD;PSD / PDT;Não eleito;11;NORTE;2603;SANTARÉM NOVO;1506906.0
BA;SÃO FÉLIX DO CORIBE;Prefeito;40;ZENUBIA ALVES DOS SANTOS;PSB;MDB / PODE / AVANTE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB / PDT / PSD;Não eleito;11;NORDESTE;4849;SÃO FÉLIX DO CORIBE;2929057.0
PI;MONSENHOR HIPÓLITO;Prefeito;55;ZENON DE MOURA BEZERRA;PSD;PSD / MDB;Não eleito;11;NORDESTE;3358;MONSENHOR HIPÓLITO;2206506.0
ES;SÃO MATEUS;Prefeito;13;ZENILZA APARECIDA BARROS PAULI;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;4947;SÃO MATEUS;3204906.0
GO;PLANALTINA;Prefeito;45;ZENILTON NERES DA COSTA;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PL / REPUBLICANOS;Não eleito;11;CENTRO-OESTE;11868;PLANALTINA;5217609.0
RO;JI-PARANÁ;Prefeito;20;ZENILTON FELBEK DE ALMEIDA;PODE;PODE;Não eleito;11;NORTE;794;JI-PARANÁ;
BA;ITAETÉ;Prefeito;40;ZENILDO MATOS DE OLIVEIRA;PSB;PODE / SOLIDARIEDADE / PSB;Eleito;11;NORDESTE;5386;ITAETÉ;
BA;JEQUIÉ;Prefeito;11;ZENILDO BRANDÃO SANTANA;PP;REPUBLICANOS / PP / PDT / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;NORDESTE;85219;JEQUIÉ;
MS;LAGUNA CARAPÃ;Prefeito;55;ZENAIDE ESPINDOLA FLORES;PSD;PODE / UNIÃO / PSD;Não eleito;11;CENTRO-OESTE;353;LAGUNA CARAPÃ;
RS;SÃO LOURENÇO DO SUL;Prefeito;13;ZELMUTE OLIVEIRA PERES MARTEN;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUL;7498;SÃO LOURENÇO DO SUL;4318804.0
RS;ESPUMOSO;Prefeito;12;ZELINDO SIGNOR NETO;PDT;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PDT / UNIÃO;Não eleito;11;SUL;4905;ESPUMOSO;4307500.0
GO;ITAPIRAPUÃ;Prefeito;22;ZELIA CAMELO DE OLIVEIRA;PL;PDT / PL / AGIR / PSD;Não eleito;11;CENTRO-OESTE;2782;ITAPIRAPUÃ;
MA;SÍTIO NOVO;Prefeito;11;ZEIMAR TEIXEIRA DE ARRUDA MACIEL;PP;PP / UNIÃO / Federação PSOL REDE (PSOL / REDE);Não eleito;11;NORDESTE;4098;SÍTIO NOVO;2111805.0
SP;ENGENHEIRO COELHO;Prefeito;55;ZEEDIVALDO ALVES DE MIRANDA;PSD;PSD;Não eleito;11;SUDESTE;876;ENGENHEIRO COELHO;3515152.0
BA;PÉ DE SERRA;Prefeito;44;ZEDIVAN DE FREITAS RIOS;UNIÃO;REPUBLICANOS / PDT / PL / UNIÃO / SOLIDARIEDADE;Eleito;11;NORDESTE;5506;PÉ DE SERRA;2924058.0
PR;IMBITUVA;Prefeito;10;ZAQUEU LUIZ BOBATO;REPUBLICANOS;PP / PDT / PODE / PRD / REPUBLICANOS / PSB;Não eleito;11;SUL;2196;IMBITUVA;4110102.0
MG;SANTA RITA DE MINAS;Prefeito;10;ZANIA FARIA SILVA;REPUBLICANOS;REPUBLICANOS / SOLIDARIEDADE;Eleito;11;SUDESTE;1923;SANTA RITA DE MINAS;3159357.0
RS;VISTA ALEGRE;Prefeito;13;ZAIRO RIBOLI;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB / UNIÃO;Não eleito;11;SUL;1172;VISTA ALEGRE;4323507.0
BA;CANAVIEIRAS;Prefeito;44;ZAIRO JACQUES PINTO LOUREIRO;UNIÃO;UNIÃO;Não eleito;11;NORDESTE;4044;CANAVIEIRAS;2906303.0
RS;PINHEIRINHO DO VALE;Prefeito;45;ZAIRES DOMINGOS FACCIN;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUL;50;PINHEIRINHO DO VALE;4314498.0
MG;VARGINHA;Prefeito;22;ZACARIAS ABRÃO PIVA;PL;PP / PODE / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / AGIR / PL / REPUBLICANOS;Não eleito;11;SUDESTE;6645;VARGINHA;3170701.0
MG;CARMO DE MINAS;Prefeito;44;YURI VAZ DE OLIVEIRA;UNIÃO;PRD / UNIÃO;Não eleito;11;SUDESTE;1704;CARMO DE MINAS;3114105.0
RJ;PETRÓPOLIS;Prefeito;50;YURI LUCAS CARIUS DE MOURA ALMEIDA;PSOL;Federação PSOL REDE (PSOL / REDE);2º turno;11;SUDESTE;28001;PETRÓPOLIS;3303906.0
PB;JOÃO PESSOA;Prefeito;80;YURI EZEQUIEL DE LIMA SILVA;UP;UP;Não eleito;11;NORDESTE;2237;JOÃO PESSOA;2507507.0
BA;PEDRO ALEXANDRE;Prefeito;11;YURI CESAR DE ANDRADE MENEZES;PP;PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PODE;Eleito;11;NORDESTE;4558;PEDRO ALEXANDRE;2924207.0
MA;CODÓ;Prefeito;55;YURI BRITO CORRÊA;PSD;PSD / NOVO / PMB;Não eleito;11;NORDESTE;2776;CODÓ;
CE;GUARAMIRANGA;Prefeito;10;YNARA FURTADO VASCONCELOS MOTA;REPUBLICANOS;REPUBLICANOS / MDB / PODE / PSB;Eleito;11;NORDESTE;3045;GUARAMIRANGA;2305100.0
GO;PIRENÓPOLIS;Prefeito;44;YNAE SIQUEIRA CURADO;UNIÃO;UNIÃO / SOLIDARIEDADE / REPUBLICANOS / NOVO;Não eleito;11;CENTRO-OESTE;6247;PIRENÓPOLIS;5217302.0
BA;OUROLÂNDIA;Prefeito;13;YHONARA ROCHA DE ALMEIDA FREIRE;PT;PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;5163;OUROLÂNDIA;2923357.0
MA;SÃO LUÍS;Prefeito;28;YGLÉSIO LUCIANO MOYSES SILVA DE SOUZA;PRTB;PRTB;Não eleito;11;NORDESTE;18348;SÃO LUÍS;2111300.0
GO;FORMOSA;Prefeito;43;YASSER MARTINS YASSINE;PV;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;1216;FORMOSA;5208004.0
RJ;SÃO FRANCISCO DE ITABAPOANA;Prefeito;77;YARA CINTHIA ROCHA NOGUEIRA;SOLIDARIEDADE;REPUBLICANOS / PP / PDT / SOLIDARIEDADE / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;15312;SÃO FRANCISCO DE ITABAPOANA;3304755.0
SP;CAÇAPAVA;Prefeito;20;YAN LOPES DE ALMEIDA;PODE;PSB / PODE;Eleito;11;SUDESTE;18223;CAÇAPAVA;3508504.0
AM;ANAMÃ;Prefeito;20;YAMILE VIANA DE SOUZA QUEIROZ;PODE;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PODE;Não eleito;11;NORTE;182;ANAMÃ;
MT;CUIABÁ;Prefeito;22;ABILIO JACQUES BRUNINI MOUMER;PL;PL / NOVO / PRTB / DC;2º turno;11;CENTRO-OESTE;126944;CUIABÁ;
SP;ITARARÉ;Prefeito;55;YAGO FELIPE FERREIRA RAPOSO;PSD;MDB / PODE / NOVO / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUDESTE;9215;ITARARÉ;
ES;SERRA;Prefeito;30;WYLSON ZON FILHO;NOVO;NOVO;Não eleito;11;SUDESTE;919;SERRA;3205002.0
PE;POÇÃO;Prefeito;40;WRIDES MENDES PAZ;PSB;PSB;Não eleito;11;NORDESTE;1269;POÇÃO;2611200.0
PI;COCAL DOS ALVES;Prefeito;13;WODSON GIAN SILVA VIEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;3329;COCAL DOS ALVES;2202729.0
TO;MONTE DO CARMO;Prefeito;10;WLISSES JASON DE OLIVEIRA NEGRE;REPUBLICANOS;REPUBLICANOS / PP / NOVO;Não eleito;11;NORTE;1737;MONTE DO CARMO;1713601.0
TO;PALMEIRÓPOLIS;Prefeito;12;WLISSES BARROS DE SOUZA;PDT;REPUBLICANOS / PDT / MDB;Eleito;11;NORTE;2370;PALMEIRÓPOLIS;1715754.0
MG;CACHOEIRA DE PAJEÚ;Prefeito;13;WLADIMIR MENDES LIMA;PT;PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;1342;CACHOEIRA DE PAJEÚ;
BA;ARATACA;Prefeito;40;WLADIMIR KRISTOFFESON BOMFIM DE OLIVEIRA;PSB;AVANTE / PSB;Não eleito;11;NORDESTE;1313;ARATACA;2902252.0
RJ;CAMPOS DOS GOYTACAZES;Prefeito;11;WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA;PP;REPUBLICANOS / PP / PDT / MDB / PODE / PL / AGIR / AVANTE;Eleito;11;SUDESTE;192232;CAMPOS DOS GOYTACAZES;3301009.0
AL;CACIMBINHAS;Prefeito;15;WLADIMIR ARAÚJO WANDERLEY;MDB;MDB / PSB;Eleito;11;NORDESTE;6336;CACIMBINHAS;2701209.0
MS;DOIS IRMÃOS DO BURITI;Prefeito;15;WLADEMIR DE SOUZA VOLK;MDB;REPUBLICANOS / PP / PDT / MDB / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;CENTRO-OESTE;4651;DOIS IRMÃOS DO BURITI;5003488.0
GO;GAMELEIRA DE GOIÁS;Prefeito;22;WIVVIANE DE CARVALHO DUARTE TELES;PL;PDT / MDB / PL / UNIÃO;Eleito;11;CENTRO-OESTE;1643;GAMELEIRA DE GOIÁS;5208152.0
GO;CORUMBAÍBA;Prefeito;15;WISNER ARAÚJO DE ALMEIDA;MDB;PP / PDT / MDB / DC / UNIÃO;Eleito;11;CENTRO-OESTE;3104;CORUMBAÍBA;5205901.0
MG;PIEDADE DO RIO GRANDE;Prefeito;15;WISLEY ALISSOM MANGIA;MDB;MDB;Não eleito;11;SUDESTE;959;PIEDADE DO RIO GRANDE;3150307.0
MT;CUIABÁ;Prefeito;13;LÚDIO FRANK MENDES CABRAL;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSD / Federação PSOL REDE (PSOL / REDE);2º turno;11;CENTRO-OESTE;90719;CUIABÁ;
PI;PAVUSSU;Prefeito;55;WININCIUS VILANOVA DE MIRANDA;PSD;PSD;Eleito;11;NORDESTE;2786;PAVUSSU;2207850.0
BA;FEIRA DA MATA;Prefeito;40;WIM ROCHA TRINDADE;PSB;PSB;Não eleito;11;NORDESTE;1626;FEIRA DA MATA;2910776.0
BA;MANOEL VITORINO;Prefeito;70;WILTON NERES DOS SANTOS;AVANTE;AVANTE;Não eleito;11;NORDESTE;102;MANOEL VITORINO;2920403.0
PA;SAPUCAIA;Prefeito;15;WILTON MIRANDA DE LIMA;MDB;MDB / UNIÃO / PP / PODE / PL / PSB;Eleito;11;NORTE;4241;SAPUCAIA;1507755.0
MG;VERDELÂNDIA;Prefeito;13;WILTON LEITE MADUREIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / SOLIDARIEDADE;Eleito;11;SUDESTE;2981;VERDELÂNDIA;3171030.0
GO;POSSE;Prefeito;13;WILTON FERREIRA DA HORA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;641;POSSE;5218300.0
PI;MASSAPÊ DO PIAUÍ;Prefeito;15;WILTON COUTINHO SILVA;MDB;MDB / REPUBLICANOS / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;3425;MASSAPÊ DO PIAUÍ;
PB;CAAPORÃ;Prefeito;40;WILTON ALENCAR SANTOS DE SOUZA;PSB;REPUBLICANOS / PDT / MOBILIZA / PSB / PSD / Federação PSOL REDE (PSOL / REDE);Não eleito;11;NORDESTE;6350;CAAPORÃ;
PR;MARIA HELENA;Prefeito;11;WILSON SAVIO PAULINO;PP;PP / MDB;Não eleito;11;SUL;553;MARIA HELENA;4114708.0
MG;ARAPORÃ;Prefeito;55;WILSON ROBERTO RIBEIRO;PSD;PDT / PSB / PSD / SOLIDARIEDADE;Eleito;11;SUDESTE;3271;ARAPORÃ;
BA;VERA CRUZ;Prefeito;55;WILSON RIBEIRO PEDREIRA FILHO;PSD;REPUBLICANOS / PMB / PSB / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;9889;VERA CRUZ;2933208.0
SC;FRAIBURGO;Prefeito;22;WILSON RIBEIRO CARDOSO JUNIOR;PL;PL / PDT / PP / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUL;9953;FRAIBURGO;4205506.0
SP;TUPÃ;Prefeito;55;WILSON QUILES JUNIOR;PSD;REPUBLICANOS / MDB / PL / PRD / UNIÃO / PSD / PP;Não eleito;11;SUDESTE;15207;TUPÃ;
BA;ANDARAÍ;Prefeito;40;WILSON PAES CARDOSO;PSB;PSB / PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;4244;ANDARAÍ;
RS;SINIMBU;Prefeito;40;WILSON MOLZ;PSB;PSB / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUL;2847;SINIMBU;4320677.0
GO;BELA VISTA DE GOIÁS;Prefeito;13;WILSON MARCOS TELES;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;309;BELA VISTA DE GOIÁS;5203302.0
MG;PORTEIRINHA;Prefeito;77;WILSON MARCOS SOARES;SOLIDARIEDADE;SOLIDARIEDADE / MDB;Não eleito;11;SUDESTE;845;PORTEIRINHA;3152204.0
MG;ABAETÉ;Prefeito;45;WILSON MARCELO DA SILVA;PSDB;PDT / PP / PSB / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUDESTE;2497;ABAETÉ;
MG;ITABIRITO;Prefeito;30;WILSON LUIZ DE OLIVEIRA;NOVO;NOVO;Não eleito;11;SUDESTE;177;ITABIRITO;3131901.0
SC;CORDILHEIRA ALTA;Prefeito;15;WILSON LUIZ DA SILVA;MDB;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / MDB;Eleito;11;SUL;2236;CORDILHEIRA ALTA;4204350.0
PA;MAGALHÃES BARATA;Prefeito;44;WILSON LUIZ ALVES FERREIRA;UNIÃO;PP / MDB / UNIÃO / PSD;Não eleito;11;NORTE;2523;MAGALHÃES BARATA;1504109.0
BA;PALMAS DE MONTE ALTO;Prefeito;15;WILSON LIMA NASCIMENTO;MDB;MDB;Não eleito;11;NORDESTE;1565;PALMAS DE MONTE ALTO;2923407.0
RO;MINISTRO ANDREAZZA;Prefeito;22;WILSON LAURENTI;PL;PL / PP;Não eleito;11;NORTE;1372;MINISTRO ANDREAZZA;1101203.0
SP;CAMPINAS;Prefeito;30;WILSON KELLER DE MATOS;NOVO;NOVO;Não eleito;11;SUDESTE;10013;CAMPINAS;3509502.0
TO;CRISTALÂNDIA;Prefeito;44;WILSON JUNIOR CARVALHO DE OLIVEIRA;UNIÃO;REPUBLICANOS / UNIÃO;Eleito;11;NORTE;2601;CRISTALÂNDIA;1706100.0
SP;BERNARDINO DE CAMPOS;Prefeito;55;WILSON JOSE GARCIA;PSD;PSD / REPUBLICANOS / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;3225;BERNARDINO DE CAMPOS;3506300.0
GO;MOIPORÁ;Prefeito;22;WILSON JOSÉ FERREIRA;PL;PL / PSD / PP / PRD / UNIÃO;Eleito;11;CENTRO-OESTE;1532;MOIPORÁ;
BA;PALMEIRAS;Prefeito;70;WILSON JOSE DA ROCHA;AVANTE;AVANTE / MDB;Eleito;11;NORDESTE;3911;PALMEIRAS;2923506.0
SP;ONDA VERDE;Prefeito;55;WILSON JOSE CALDAS;PSD;PSD;Não eleito;11;SUDESTE;145;ONDA VERDE;3534005.0
PE;IPUBI;Prefeito;20;WILSON FILHO MIRANDA LUCENA;PODE;PDT / PP / UNIÃO / PODE;Não eleito;11;NORDESTE;9030;IPUBI;2607307.0
SP;SERTÃOZINHO;Prefeito;55;WILSON FERNANDES PIRES FILHO;PSD;PDT / UNIÃO / PSD;Não eleito;11;SUDESTE;5338;SERTÃOZINHO;3551702.0
PR;JATAIZINHO;Prefeito;12;WILSON FERNANDES;PDT;PP / PDT / PL / AVANTE / SOLIDARIEDADE / PSD;Eleito;11;SUL;3587;JATAIZINHO;4112702.0
PB;JUAREZ TÁVORA;Prefeito;40;WILSON EVANGELISTA FEITOSA;PSB;PSB / MDB / PODE;Eleito;11;NORDESTE;4917;JUAREZ TÁVORA;2507606.0
BA;IBITIARA;Prefeito;55;WILSON DOS SANTOS SOUZA;PSD;PSD / SOLIDARIEDADE;Eleito;11;NORDESTE;6673;IBITIARA;2913002.0
AP;PEDRA BRANCA DO AMAPARI;Prefeito;25;WILSON DE SOUSA FILHO;PRD;PRD;Não eleito;11;NORTE;2437;PEDRA BRANCA DO AMAPARI;1600154.0
MG;SÃO JOÃO DO PARAÍSO;Prefeito;22;WILSON DE OLIVEIRA SANTOS;PL;PL;Não eleito;11;SUDESTE;260;SÃO JOÃO DO PARAÍSO;3162708.0
PR;SÃO JOSÉ DOS PINHAIS;Prefeito;13;WILSON DE OLIVEIRA ROCHA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;6772;SÃO JOSÉ DOS PINHAIS;4125506.0
MG;MARTINHO CAMPOS;Prefeito;70;WILSON CORREA ALVES AFONSO DE CARVALHO;AVANTE;AVANTE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PDT / PRD / PSB / REPUBLICANOS;Eleito;11;SUDESTE;3075;MARTINHO CAMPOS;3140506.0
SP;SÃO JOSÉ DOS CAMPOS;Prefeito;12;WILSON CABRAL DE SOUSA JUNIOR;PDT;PDT;Não eleito;11;SUDESTE;8710;SÃO JOSÉ DOS CAMPOS;3549904.0
PR;RAMILÂNDIA;Prefeito;15;WILSON BONAMIGO;MDB;MDB / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PDT / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;1006;RAMILÂNDIA;4121257.0
PR;LUIZIANA;Prefeito;55;WILSON ANTONIO TURECK;PSD;PSD / PL;Não eleito;11;SUL;1619;LUIZIANA;4113734.0
ES;BREJETUBA;Prefeito;22;WILSON AMBROZIM;PL;PL;Não eleito;11;SUDESTE;2803;BREJETUBA;3201159.0
CE;IPAUMIRIM;Prefeito;55;WILSON ALVES DE FREITAS;PSD;PSD / REPUBLICANOS / MDB / PSB / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;NORDESTE;6117;IPAUMIRIM;2305704.0
BA;PRADO;Prefeito;11;WILSON ALVES DE BRITO FILHO;PP;PP / PDT / UNIÃO / AVANTE / PRD;Não eleito;11;NORDESTE;6196;PRADO;2925501.0
SP;RIFAINA;Prefeito;55;WILSON ALVES DA SILVA JUNIOR;PSD;PP / PSD;Eleito;11;SUDESTE;2371;RIFAINA;3543600.0
PR;QUARTO CENTENÁRIO;Prefeito;22;WILSON AKIO ABE;PL;PP / MDB / PL / PSD;Eleito;11;SUL;2311;QUARTO CENTENÁRIO;4120655.0
PI;COLÔNIA DO GURGUÉIA;Prefeito;20;WILON PINHEIRO GUIMARÃES;PODE;PODE;Não eleito;11;NORDESTE;201;COLÔNIA DO GURGUÉIA;2202752.0
RS;CANDELÁRIA;Prefeito;12;WILMAR REDISKE;PDT;PDT;Não eleito;11;SUL;478;CANDELÁRIA;4304200.0
GO;COCALZINHO DE GOIÁS;Prefeito;15;WILMAR NOEL DA CRUZ MONTES;MDB;MDB / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PDT / PP / PODE;Não eleito;11;CENTRO-OESTE;4336;COCALZINHO DE GOIÁS;5205513.0
PB;FAGUNDES;Prefeito;40;WILMAR LEMOS MARANHÃO JÚNIOR;PSB;PSB / PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;4991;FAGUNDES;2506103.0
SC;VIDEIRA;Prefeito;15;WILMAR CARELLI;MDB;MDB / PODE / UNIÃO;Eleito;11;SUL;14628;VIDEIRA;4219309.0
MG;SÃO JOSÉ DA SAFIRA;Prefeito;45;WILLIS APARECIDO ALVES;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / MDB / UNIÃO;Eleito;11;SUDESTE;2167;SÃO JOSÉ DA SAFIRA;3163003.0
SP;JUQUITIBA;Prefeito;15;WILLIANS SOARES RODRIGUES;MDB;PDT / MDB / PRD / PSB / SOLIDARIEDADE / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;9151;JUQUITIBA;3526209.0
GO;CRIXÁS;Prefeito;35;WILLIAN XAVIER MACHADO;PMB;PMB;Não eleito;11;CENTRO-OESTE;63;CRIXÁS;5206404.0
GO;APARECIDA DE GOIÂNIA;Prefeito;40;WILLIAN RODRIGUES FIGUEIREDO;PSB;PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / Federação PSOL REDE (PSOL / REDE);Não eleito;11;CENTRO-OESTE;20443;APARECIDA DE GOIÂNIA;5201405.0
MG;CARNEIRINHO;Prefeito;10;WILLIAN MARTINS MAIA;REPUBLICANOS;REPUBLICANOS / PP / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;3655;CARNEIRINHO;3114550.0
MG;PRUDENTE DE MORAIS;Prefeito;77;WILLIAN LIMEIRA DOS SANTOS;SOLIDARIEDADE;SOLIDARIEDADE;Não eleito;11;SUDESTE;639;PRUDENTE DE MORAIS;3153608.0
MG;BAMBUÍ;Prefeito;22;WILLIAN DOUGLAS HUMIA MENEZES;PL;PL;Não eleito;11;SUDESTE;2017;BAMBUÍ;
SC;ITAPEMA;Prefeito;13;WILLIAN DIÓGENES MEISTER;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUL;2188;ITAPEMA;4208302.0
ES;SOORETAMA;Prefeito;44;WILLIAN CONSTANTINO BASSANI;UNIÃO;PP / PRD / PSB / UNIÃO / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;2944;SOORETAMA;3205010.0
PR;SANTA CRUZ DE MONTE CASTELO;Prefeito;22;WILLIAN CEZAR VIEGA;PL;PL / PSD / PODE;Eleito;11;SUL;3625;SANTA CRUZ DE MONTE CASTELO;4123303.0
CE;INDEPENDÊNCIA;Prefeito;13;WILLIAM VIEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / REPUBLICANOS;Eleito;11;NORDESTE;10940;INDEPENDÊNCIA;2305605.0
MT;CUIABÁ;Prefeito;44;JOSÉ EDUARDO BOTELHO;UNIÃO;UNIÃO / REPUBLICANOS / PP / PODE / PMB / PSB / SOLIDARIEDADE / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;CENTRO-OESTE;88977;CUIABÁ;
MG;ANTÔNIO DIAS;Prefeito;22;WILLIAM ROBSON MARQUES FRAGA;PL;PL / UNIÃO;Não eleito;11;SUDESTE;2528;ANTÔNIO DIAS;3103009.0
SP;BANANAL;Prefeito;10;WILLIAM LANDIM DA SILVA;REPUBLICANOS;REPUBLICANOS / MDB / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;4416;BANANAL;3504909.0
PR;GRANDES RIOS;Prefeito;20;WILLIAM JOSÉ GONÇALVES;PODE;PODE;Eleito;11;SUL;2073;GRANDES RIOS;4108700.0
MG;SENADOR FIRMINO;Prefeito;44;WILLIAM FERNANDES MUSSI;UNIÃO;UNIÃO / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;2602;SENADOR FIRMINO;3165701.0
