sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;cd_cargo;nm_regiao;qt_votos_nom_validos;nm_mun_clean;geocodigo
SP;JUNQUEIRÓPOLIS;Prefeito;10;ELIO FURINI NETO;REPUBLICANOS;REPUBLICANOS / MDB / UNIÃO;Eleito;11;SUDESTE;6545;JUNQUEIRÓPOLIS;3526001.0
TO;CHAPADA DA NATIVIDADE;Prefeito;10;ELIO DIONIZIO DE SANTANA;REPUBLICANOS;REPUBLICANOS / PDT;Eleito;11;NORTE;1401;CHAPADA DA NATIVIDADE;1705102.0
MG;ITABIRITO;Prefeito;23;ELIO DA MATA SANTOS;CIDADANIA;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PP / PDT / MOBILIZA / PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUDESTE;16861;ITABIRITO;3131901.0
PR;TELÊMACO BORBA;Prefeito;15;ÉLIO CEZAR ALVES DOS SANTOS;MDB;MDB / SOLIDARIEDADE / DC / AGIR;Não eleito;11;SUL;9011;TELÊMACO BORBA;4127106.0
RO;CACAULÂNDIA;Prefeito;11;ELIO CESAR MAMEDIO DE OLIVEIRA;PP;PP / UNIÃO;Não eleito;11;NORTE;1351;CACAULÂNDIA;1100601.0
PR;MARQUINHO;Prefeito;15;ELIO BOLZON JUNIOR;MDB;MDB / PODE / PSD / REPUBLICANOS;Eleito;11;SUL;2868;MARQUINHO;4115457.0
RS;RODEIO BONITO;Prefeito;15;ELIO ANTONIO TRES;MDB;MDB;Não eleito;11;SUL;947;RODEIO BONITO;4315909.0
PA;TERRA ALTA;Prefeito;15;ELINALDO MATOS DA SILVA;MDB;MDB / PSB / UNIÃO / PSD;Não eleito;11;NORTE;4966;TERRA ALTA;1507961.0
RS;CIDREIRA;Prefeito;45;ELIMAR TOMAZ PACHECO;PSDB;PP / MDB / PL / PSB / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUL;3803;CIDREIRA;4305454.0
RN;UMARIZAL;Prefeito;44;ELIJANE PAIVA DE FREITAS;UNIÃO;PSB / UNIÃO;Não eleito;11;NORDESTE;1502;UMARIZAL;2414506.0
RS;GAURAMA;Prefeito;55;ELIEZER VAGNER ZANATTA;PSD;REPUBLICANOS / PP / MDB / PL / PSD;Eleito;11;SUL;2503;GAURAMA;4308706.0
SP;MIRASSOL;Prefeito;28;ELIEZER ANTONIO MILANI DOS SANTOS;PRTB;PRTB;Não eleito;11;SUDESTE;0;MIRASSOL;3530300.0
MG;ITURAMA;Prefeito;65;ELIEZER ALVES DA SILVA;PC do B;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUDESTE;100;ITURAMA;3134400.0
GO;SÃO LUIZ DO NORTE;Prefeito;44;ELIEUDES DIAS DE MORAES;UNIÃO;PDT / PSB / MDB / UNIÃO;Eleito;11;CENTRO-OESTE;3715;SÃO LUIZ DO NORTE;5220157.0
BA;SÃO JOSÉ DA VITÓRIA;Prefeito;33;ELIEUDA MARIA ALVES CORDEIRO;MOBILIZA;MOBILIZA;Não eleito;11;NORDESTE;13;SÃO JOSÉ DA VITÓRIA;2929354.0
BA;NORDESTINA;Prefeito;55;ELIETE DE ANDRADE ARAUJO;PSD;PDT / PL / PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;4420;NORDESTINA;2922656.0
