sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
AC;ACRELÂNDIA;Prefeito;11;EDERALDO CAETANO DE SOUSA;PP;PP / SOLIDARIEDADE / PSD;Não eleito;NORTE;2405
AC;ACRELÂNDIA;Prefeito;12;WILSON JOSÉ DOS SANTOS;PDT;PDT;Não eleito;NORTE;1237
AC;ACRELÂNDIA;Prefeito;15;OLAVO FRANCELINO DE REZENDE;MDB;PL / MDB / PSDB;Eleito;NORTE;2638
AC;ACRELÂNDIA;Prefeito;90;ROSANGELA SILVA DOS SANTOS;PROS;PSL / PROS;Não eleito;NORTE;569
AC;ASSIS BRASIL;Prefeito;13;JERRY CORREIA MARINHO;PT;PT;Eleito;NORTE;1583
AC;ASSIS BRASIL;Prefeito;15;JOÃO BATISTA DOS SANTOS JÚNIOR;MDB;PL / MDB;Não eleito;NORTE;387
AC;ASSIS BRASIL;Prefeito;45;ANTONIO BARBOSA DE SOUSA;PSDB;PSDB / PSL;Não eleito;NORTE;964
AC;ASSIS BRASIL;Prefeito;55;JOSE FERREIRA DO NASCIMENTO FILHO;PSD;PP / PSD;Não eleito;NORTE;1082
AC;ASSIS BRASIL;Prefeito;65;JESUS SEBASTIAN LOPEZ CARDOSO;PC do B;PC do B / PSB;Não eleito;NORTE;749
AC;BRASILÉIA;Prefeito;13;FERNANDA DE SOUZA HASSEM CESAR;PT;SOLIDARIEDADE / PC do B / DC / PROS / PSB / PT / PP;Eleito;NORTE;7651
AC;BRASILÉIA;Prefeito;15;ANA LEILA GALVÃO MAIA MOREIRA;MDB;MDB / PTB / PSL / PL / AVANTE / PSD;Não eleito;NORTE;4590
AC;BRASILÉIA;Prefeito;45;MANOEL PRETE;PSDB;PSDB;Não eleito;NORTE;627
AC;BUJARI;Prefeito;11;ROMUALDO DE SOUZA ARAÚJO;PP;PSDB / PROS / REPUBLICANOS / PATRIOTA / AVANTE / PP;Não eleito;NORTE;2311
AC;BUJARI;Prefeito;12;JOÃO EDVALDO TELES DE LIMA;PDT;MDB / PC do B / PDT / DEM;Eleito;NORTE;3386
AC;BUJARI;Prefeito;13;ORLANDO DINIZ;PT;PT / PL;Não eleito;NORTE;188
AC;BUJARI;Prefeito;40;VALDIVINO NONATO DE SOUSA;PSB;PSD / PSB;Não eleito;NORTE;735
AC;BUJARI;Prefeito;77;FABRÍCIA SÁ DE FRANÇA OLIVEIRA;SOLIDARIEDADE;SOLIDARIEDADE;Não eleito;NORTE;431
AC;CAPIXABA;Prefeito;13;LOURIVAL MUSTAFA DE ANDRADE;PT;PT / PSD;Não eleito;NORTE;1228
AC;CAPIXABA;Prefeito;14;LAMARTINE MAIA NASCIMENTO;PTB;PTB / DC;Não eleito;NORTE;724
AC;CAPIXABA;Prefeito;15;ANTONIO CORDEIRO DA SILVA;MDB;REPUBLICANOS / PL / PDT / MDB;Não eleito;NORTE;1318
AC;CAPIXABA;Prefeito;25;MANOEL MAIA BEZERRA;DEM;DEM / SOLIDARIEDADE / PSDB / PROS / PP;Eleito;NORTE;2627
AC;CRUZEIRO DO SUL;Prefeito;11;JOSÉ DE SOUZA LIMA;PP;PDT / PSB / SOLIDARIEDADE / PP / PSD / PROS / PC do B / PT / DC;Eleito;NORTE;18766
AC;CRUZEIRO DO SUL;Prefeito;15;FAGNER ROJAS SALES;MDB;PMN / MDB / PSDB / REPUBLICANOS / PSC / AVANTE / PL;Não eleito;NORTE;14666
AC;CRUZEIRO DO SUL;Prefeito;17;ADONIS FRANCISCO DE ALMEIDA SOUZA;PSL;PSL / DEM;Não eleito;NORTE;9077
AC;EPITACIOLÂNDIA;Prefeito;11;JOÃO SEBASTIÃO FLORES DA SILVA;PP;PL / PP / MDB;Não eleito;NORTE;741
AC;EPITACIOLÂNDIA;Prefeito;13;ROSINEIDE RODRIGUES LOPES;PT;PT;Não eleito;NORTE;983
AC;EPITACIOLÂNDIA;Prefeito;17;EVERTON SOARES DA SILVA;PSL;PSL / SOLIDARIEDADE / PSD / DEM;Não eleito;NORTE;3328
AC;EPITACIOLÂNDIA;Prefeito;45;SERGIO LOPES DE SOUZA;PSDB;PROS / PODE / PSDB;Eleito;NORTE;3984
AC;FEIJÓ;Prefeito;11;KIEFER ROBERTO CAVALCANTE LIMA;PP;PP / PSD / DEM / SOLIDARIEDADE / PDT / PSB;Eleito;NORTE;8528
AC;FEIJÓ;Prefeito;13;MAURO DEFESON BARROSO BRAGA;PT;PT;Não eleito;NORTE;706
AC;FEIJÓ;Prefeito;15;FRANCIMAR FERNANDES DE ALBUQUERQUE;MDB;PL / MDB / PC do B / PSDB;Não eleito;NORTE;5716
AC;FEIJÓ;Prefeito;17;JOSÉ GERSON DE CASTRO MEIRELES;PSL;PSL;Não eleito;NORTE;546
AC;JORDÃO;Prefeito;12;FRANCISCO NAUDINO RIBEIRO SOUZA;PDT;PDT;Eleito;NORTE;1264
AC;JORDÃO;Prefeito;13;NÁGELA MARIA DE FIGUEIRÉDO SILVA;PT;PSD / PT;Não eleito;NORTE;915
AC;JORDÃO;Prefeito;15;ZEINA MARIA LINA DE MELO;MDB;PSDB / MDB;Não eleito;NORTE;1053
AC;JORDÃO;Prefeito;22;JOÃO ALVES CORDEIRO;PL;PL;Não eleito;NORTE;186
AC;JORDÃO;Prefeito;65;MARCEL RITHER HENRIQUE SANTOS DE SOUZA;PC do B;PC do B / PP;Não eleito;NORTE;768
AC;MANOEL URBANO;Prefeito;15;JOSE ALTANIZIO TAUMATURGO SÁ;MDB;PP / PSDB / PSL / MDB;Eleito;NORTE;3082
AC;MANOEL URBANO;Prefeito;55;ALDEMAR FERREIRA JUNIOR;PSD;PT / PL / PSB / PSD / PC do B / DEM;Não eleito;NORTE;2314
AC;MARECHAL THAUMATURGO;Prefeito;13;CARLENE DE ANDRADE DA COSTA SÁ;PT;PDT / MDB / PT / PSB / PL;Não eleito;NORTE;3303
AC;MARECHAL THAUMATURGO;Prefeito;55;ISAAC DA SILVA PIYAKO;PSD;PSD / PC do B / PSDB / PP / SOLIDARIEDADE;Eleito;NORTE;4521
AC;MARECHAL THAUMATURGO;Prefeito;90;SILVANO QUEIROZ DA SILVA;PROS;PROS / PSC;Não eleito;NORTE;549
AC;MÂNCIO LIMA;Prefeito;13;ISAAC DE SOUZA LIMA;PT;PT / REPUBLICANOS / PDT / PSD / PC do B;Eleito;NORTE;4115
AC;MÂNCIO LIMA;Prefeito;15;FRANCISCO RODRIGUES DE LIMA;MDB;MDB / PSDB / PL;Não eleito;NORTE;3460
AC;PLÁCIDO DE CASTRO;Prefeito;15;FRANCISCO TAVARES DE SOUZA;MDB;MDB / PP;Não eleito;NORTE;2679
AC;PLÁCIDO DE CASTRO;Prefeito;17;JOANA D'ARC VALENTE SANTANA;PSL;PSL;Não eleito;NORTE;94
AC;PLÁCIDO DE CASTRO;Prefeito;45;GEDEON SOUSA BARROS;PSDB;DEM / PC do B / PSDB / REPUBLICANOS / PL;Não eleito;NORTE;2800
AC;PLÁCIDO DE CASTRO;Prefeito;55;CAMILO DA SILVA;PSD;PSD / PDT / PSB;Eleito;NORTE;3838
AC;PORTO ACRE;Prefeito;10;SEBASTIÃO CRUZ DA SILVA;REPUBLICANOS;REPUBLICANOS;Não eleito;NORTE;1063
AC;PORTO ACRE;Prefeito;11;BENEDITO CAVALCANTE DAMASCENO;PP;DEM / PT / PP / PTB / PSD / PC do B;Eleito;NORTE;5415
AC;PORTO ACRE;Prefeito;15;JOSE MARIA RODRIGUES;MDB;MDB / PSDB / PROS / PL / SOLIDARIEDADE;Não eleito;NORTE;2761
AC;PORTO ACRE;Prefeito;17;SEBASTIÃO GOMES DOS SANTOS;PSL;PSL;Não eleito;NORTE;169
AC;PORTO ACRE;Prefeito;40;MOACIR NOGUEIRA DA SILVA;PSB;PSB / PDT;Não eleito;NORTE;123
AC;PORTO WALTER;Prefeito;15;SEBASTIAO NOGUEIRA DE ANDRADE;MDB;MDB / PL / PSDB / PSD / PC do B / DEM;Eleito;NORTE;3411
AC;PORTO WALTER;Prefeito;90;JOSE ARNOLDO LIMA DE ALMEIDA;PROS;PP / PT / PROS / PDT / PSB;Não eleito;NORTE;2012
AC;RIO BRANCO;Prefeito;11;SEBASTIÃO BOCALOM RODRIGUES;PP;PSD / PP;2º turno;NORTE;87987
AC;RIO BRANCO;Prefeito;13;DANIEL QUEIROZ DE SANT'ANA;PT;PT / PSOL / PC do B;Não eleito;NORTE;7121
AC;RIO BRANCO;Prefeito;15;ROBERTO DUARTE JÚNIOR;MDB;MDB / REPUBLICANOS / PTB / PL;Não eleito;NORTE;12362
AC;RIO BRANCO;Prefeito;20;JAMYL ASFURY MARTINS OLIVEIRA;PSC;PSC;Não eleito;NORTE;1509
AC;RIO BRANCO;Prefeito;40;MARIA DO SOCORRO NERI MEDEIROS DE SOUZA;PSB;PSB / PODE / PROS / SOLIDARIEDADE / PDT / PV / DEM / PTC;2º turno;NORTE;40250
AC;RIO BRANCO;Prefeito;45;MINORU MARTINS KINPARA;PSDB;CIDADANIA / PSL / PSDB;Não eleito;NORTE;25939
AC;RIO BRANCO;Prefeito;70;BELCLADIO JARBAS SOSTER;AVANTE;DC / PMN / PMB / PATRIOTA / AVANTE;Não eleito;NORTE;2294
AC;RODRIGUES ALVES;Prefeito;11;JOSÉ DEMÉTRIO DE SOUZA LIVAS;PP;PP / PSL;Não eleito;NORTE;307
AC;RODRIGUES ALVES;Prefeito;13;FRANCISCO ERNILSON DE FREITAS;PT;PT / MDB;Não eleito;NORTE;2340
AC;RODRIGUES ALVES;Prefeito;14;EMERSON SOARES PEREIRA;PTB;DEM / PTB;Não eleito;NORTE;343
AC;RODRIGUES ALVES;Prefeito;50;JAILSON EUGENIO DE SOUZA;PSOL;PSOL;Não eleito;NORTE;4
AC;RODRIGUES ALVES;Prefeito;90;JAILSON PONTES DE AMORIM;PROS;PROS / PSD / PDT / PC do B / PSDB;Eleito;NORTE;5977
AC;SANTA ROSA DO PURUS;Prefeito;11;FRANCISCO DE ASSIS FERNANDES DA COSTA;PP;DEM / PP / PT;Não eleito;NORTE;1016
AC;SANTA ROSA DO PURUS;Prefeito;15;JOSÉ ALTAMIR TAUMATURGO DE SÁ;MDB;PSD / PL / MDB;Eleito;NORTE;1156
AC;SANTA ROSA DO PURUS;Prefeito;45;ALDO RODRIGUES DE MOURA;PSDB;PSDB / AVANTE;Não eleito;NORTE;579
AC;SANTA ROSA DO PURUS;Prefeito;90;ODEIZA GOMES COELHO;PROS;PROS;Não eleito;NORTE;94
AC;SENA MADUREIRA;Prefeito;11;GEHLEN DINIZ ANDRADE;PP;CIDADANIA / PTB / PDT / PP / PSDB;Não eleito;NORTE;9329
AC;SENA MADUREIRA;Prefeito;15;OSMAR SERAFIM DE ANDRADE;MDB;DEM / PSB / PL / PSD / MDB / PSL;Eleito;NORTE;12183
AC;SENADOR GUIOMARD;Prefeito;11;ROSANA PEREIRA DA SILVA;PP;PP / PSD;Eleito;NORTE;4428
AC;SENADOR GUIOMARD;Prefeito;15;ANDRE LUIS TAVARES DA CRUZ MAIA;MDB;MDB / PL;Não eleito;NORTE;3272
AC;SENADOR GUIOMARD;Prefeito;17;JOÃO DE SOUZA CARVALHO;PSL;PSL;Não eleito;NORTE;263
AC;SENADOR GUIOMARD;Prefeito;45;MARIA RAIMUNDA RODRIGUES PINHEIRO MENEZES;PSDB;PSDB / REPUBLICANOS;Não eleito;NORTE;1662
AC;SENADOR GUIOMARD;Prefeito;77;JUCIMAR PESSOA DE SOUZA;SOLIDARIEDADE;SOLIDARIEDADE;Não eleito;NORTE;3993
AC;TARAUACÁ;Prefeito;12;MARIA LUCINÉIA NERY DE LIMA MENEZES;PDT;PDT / PSD;Eleito;NORTE;5461
AC;TARAUACÁ;Prefeito;14;FRANCISCO GUIMARÃES PEREIRA;PTB;PTB;Não eleito;NORTE;57
AC;TARAUACÁ;Prefeito;15;RIBAMAR DE SOUSA FEITOZA JUNIOR;MDB;PL / PP / MDB / DC;Não eleito;NORTE;3634
AC;TARAUACÁ;Prefeito;25;ANTÔNIO VIANA DE SOUZA;DEM;DEM / PSDB;Não eleito;NORTE;4650
AC;TARAUACÁ;Prefeito;50;BARTOLOMEU FRANCISCO DA ROCHA MARQUES;PSOL;PSOL;Não eleito;NORTE;280
AC;TARAUACÁ;Prefeito;65;FRANCISCO DAS CHAGAS BATISTA LOPES;PC do B;PT / PC do B / PSB;Não eleito;NORTE;4480
AC;XAPURI;Prefeito;11;CARLA VELOSO TAVARES MENDONÇA;PP;PP / DEM;Não eleito;NORTE;2338
AC;XAPURI;Prefeito;13;FRANCISCO UBIRACY MACHADO DE VASCONCELOS;PT;PT / PSB;Eleito;NORTE;3815
AC;XAPURI;Prefeito;15;CARLOS VENÍCIUS FERREIRA RIBEIRO JUNIOR;MDB;MDB;Não eleito;NORTE;1443
AC;XAPURI;Prefeito;55;GESSI NASCIMENTO DA SILVA;PSD;PSD;Não eleito;NORTE;1201
AL;ANADIA;Prefeito;11;JOSÉ CELINO RIBEIRO DE LIMA;PP;PP;Eleito;NORDESTE;5456
AL;ANADIA;Prefeito;15;PAULO HENRIQUE SANTOS DÂMASO;MDB;MDB / PTB;Não eleito;NORDESTE;3504
AL;ANADIA;Prefeito;90;JOSE ANDERSON SANTO DA SILVA;PROS;PROS;Não eleito;NORDESTE;104
AL;ARAPIRACA;Prefeito;10;FABIANA CAVALCANTE PESSOA;REPUBLICANOS;REPUBLICANOS / PSD / AVANTE / PSL;Não eleito;NORDESTE;20874
AL;ARAPIRACA;Prefeito;11;TARCIZO SAMPAIO FREIRE;PP;PP / PDT;Não eleito;NORDESTE;16376
AL;ARAPIRACA;Prefeito;15;JOSÉ LUCIANO BARBOSA DA SILVA;MDB;MDB / DEM / PSC / PL / PT / PC do B;Eleito;NORDESTE;59249
AL;ARAPIRACA;Prefeito;23;HECTOR IGOR MARTINS E SILVA;CIDADANIA;CIDADANIA;Não eleito;NORDESTE;2101
AL;ARAPIRACA;Prefeito;50;LINDOMAR FERREIRA DE QUEIROZ;PSOL;PSOL;Não eleito;NORDESTE;460
AL;ARAPIRACA;Prefeito;51;CLÁUDIO JOSÉ FERREIRA DE LIMA CANUTO;PATRIOTA;PATRIOTA;Não eleito;NORDESTE;2517
AL;ARAPIRACA;Prefeito;77;GILVANIA GOMES DE BARROS PEREIRA;SOLIDARIEDADE;SOLIDARIEDADE;Não eleito;NORDESTE;7021
AL;ATALAIA;Prefeito;13;LESSO BENEDITO DOS SANTOS;PT;PT;Não eleito;NORDESTE;147
AL;ATALAIA;Prefeito;15;FRANCISCO LUIZ DE ALBUQUERQUE;MDB;PP / MDB;Não eleito;NORDESTE;8198
AL;ATALAIA;Prefeito;19;JOSÉ JERÔNIMO DE FARIAS NETO;PODE;PODE;Não eleito;NORDESTE;41
AL;ATALAIA;Prefeito;20;CECÍLIA LIMA HERRMANN ROCHA;PSC;PSC;Eleito;NORDESTE;14057
AL;BARRA DE SANTO ANTÔNIO;Prefeito;14;LIVIA CARLA DA SILVA ALVES;PTB;PTB;Eleito;NORDESTE;4899
AL;BARRA DE SANTO ANTÔNIO;Prefeito;25;EMANUELLA CORADO ACIOLI DE MOURA;DEM;DEM / PL / PP;Não eleito;NORDESTE;4311
AL;BARRA DE SÃO MIGUEL;Prefeito;11;BENEDITO DE LIRA;PP;PP / REPUBLICANOS / MDB;Eleito;NORDESTE;2900
AL;BARRA DE SÃO MIGUEL;Prefeito;14;SILAS ALBUQUERQUE SANTOS;PTB;CIDADANIA / PTB;Não eleito;NORDESTE;1992
AL;BARRA DE SÃO MIGUEL;Prefeito;55;THACIANNY DA ROCHA FERRO;PSD;PSD;Não eleito;NORDESTE;317
AL;BARRA DE SÃO MIGUEL;Prefeito;65;ANGELA MARIA STEMLER REIS;PC do B;PC do B;Não eleito;NORDESTE;182
AL;BATALHA;Prefeito;15;MARINA THEREZA CINTRA DANTAS;MDB;MDB / PP;Eleito;NORDESTE;5739
AL;BATALHA;Prefeito;22;JOSE PAULO RODRIGUES;PL;PL;Não eleito;NORDESTE;18
AL;BATALHA;Prefeito;25;LUCIANO PEREIRA DE MELO;DEM;DEM / PSC;Não eleito;NORDESTE;3377
AL;BATALHA;Prefeito;40;PAULO JOSÉ RODRIGUES DANTAS;PSB;PSB;Não eleito;NORDESTE;181
AL;BATALHA;Prefeito;70;ROMEU JULIANO ARAÚJO COSTA;AVANTE;AVANTE;Não eleito;NORDESTE;645
AL;BELO MONTE;Prefeito;14;DALMO AUGUSTO DE ALMEIDA JUNIOR;PTB;PTB / PSD;Eleito;NORDESTE;2713
AL;BELO MONTE;Prefeito;15;ANTÔNIO FONTES CINTRA NETO;MDB;MDB / PP;Não eleito;NORDESTE;2153
AL;BELÉM;Prefeito;15;ANA PAULA ANTERO SANTA ROSA BARBOSA;MDB;MDB / PP;Eleito;NORDESTE;2160
AL;BELÉM;Prefeito;55;FLAVIO JOSE DE MATOS BARBOSA;PSD;PSD;Não eleito;NORDESTE;32
AL;BOCA DA MATA;Prefeito;15;BRUNO FEIJO TEIXEIRA;MDB;MDB / PP / REPUBLICANOS / PSL / PSD;Eleito;NORDESTE;6796
AL;BOCA DA MATA;Prefeito;22;JOSE SABINO MAYNART TENORIO;PL;PDT / PL / DC;Não eleito;NORDESTE;6752
AL;BRANQUINHA;Prefeito;15;RAIMUNDO JOSÉ DE FREITAS LOPES;MDB;MDB / PV / PT;Eleito;NORDESTE;4002
AL;BRANQUINHA;Prefeito;22;RENILDO VASCONCELOS CALHEIROS SOBRINHO;PL;PL;Não eleito;NORDESTE;2168
AL;BRANQUINHA;Prefeito;23;JEOVÁ EVARISTO DA SILVA;CIDADANIA;CIDADANIA;Não eleito;NORDESTE;29
AL;CACIMBINHAS;Prefeito;15;HUGO WANDERLEY CAJU;MDB;MDB;Eleito;NORDESTE;5302
AL;CACIMBINHAS;Prefeito;23;JOSE RAFAEL GOMES PARANHOS;CIDADANIA;CIDADANIA;Não eleito;NORDESTE;452
AL;CAJUEIRO;Prefeito;15;ANTONIO PALMERY MELO NETO;MDB;MDB / PT / REPUBLICANOS;Não eleito;NORDESTE;4272
AL;CAJUEIRO;Prefeito;19;LUCILA REGIA ALBUQUERQUE TOLEDO;PODE;PROS / PODE;Eleito;NORDESTE;5102
AL;CAJUEIRO;Prefeito;33;AGUINALDO LÚCIO TENÓRIO;PMN;PMN;Não eleito;NORDESTE;457
AL;CAJUEIRO;Prefeito;70;ANTONIO DE MELO DA SILVA;AVANTE;AVANTE;Não eleito;NORDESTE;136
AL;CAMPESTRE;Prefeito;15;NIELSON MENDES DA SILVA;MDB;PL / MDB;Eleito;NORDESTE;2945
AL;CAMPESTRE;Prefeito;33;JAIDENILSON VICTOR DE LIMA;PMN;PMN;Não eleito;NORDESTE;1252
AL;CAMPO ALEGRE;Prefeito;11;NICOLAS TEIXEIRA TAVARES PEREIRA;PP;PSL / PP / MDB / REPUBLICANOS / DEM / PDT / PL;Eleito;NORDESTE;10717
AL;CAMPO ALEGRE;Prefeito;14;DANIEL CALHEIROS TENORIO;PTB;PTB;Não eleito;NORDESTE;6655
AL;CAMPO GRANDE;Prefeito;15;CICERO FERREIRA NETO;MDB;MDB / PTB;Não eleito;NORDESTE;3156
AL;CAMPO GRANDE;Prefeito;90;ERALDO FERREIRA DA SILVA;PROS;PROS;Não eleito;NORDESTE;32
AL;CANAPI;Prefeito;11;VINÍCIUS JOSÉ MARIANO DE LIMA;PP;PP / DEM;Eleito;NORDESTE;6621
AL;CANAPI;Prefeito;13;MADSON PAULINO DE OLIVEIRA BRANDÃO;PT;PT / MDB;Não eleito;NORDESTE;2583
AL;CANAPI;Prefeito;45;JOSE MARCIO RODRIGUES MARTINS;PSDB;PSDB;Não eleito;NORDESTE;470
AL;CAPELA;Prefeito;15;ADELMO MOREIRA CALHEIROS;MDB;MDB;Eleito;NORDESTE;5203
AL;CAPELA;Prefeito;19;LUIZ EUSTÁQUIO SILVEIRA MOREIRA FILHO;PODE;PODE;Não eleito;NORDESTE;4687
AL;CAPELA;Prefeito;36;ANTONIO FERREIRA DE LIMA;PTC;PTC;Não eleito;NORDESTE;20
AL;CARNEIROS;Prefeito;14;GENIVALDO NOVAIS AGRA;PTB;PTB / PP;Não eleito;NORDESTE;1055
AL;CARNEIROS;Prefeito;15;GERALDO NOVAIS AGRA FILHO;MDB;MDB / PSC / PROS;Eleito;NORDESTE;3649
AL;CHÃ PRETA;Prefeito;15;MAURÍCIO DE VASCONCELOS HOLANDA;MDB;MDB / PSD;Eleito;NORDESTE;2198
AL;CHÃ PRETA;Prefeito;45;AUREO MAZONY TEIXEIRA DE VASCONCELOS;PSDB;PSDB / CIDADANIA;Não eleito;NORDESTE;131
AL;CHÃ PRETA;Prefeito;90;LUCAS COIMBRA ALBUQUERQUE CERQUEIRA;PROS;PROS / DEM / PMN;Não eleito;NORDESTE;2013
AL;COITÉ DO NÓIA;Prefeito;11;BUENO HIGINO DE SOUZA SILVA;PP;PP / PSDB;Eleito;NORDESTE;3324
AL;COITÉ DO NÓIA;Prefeito;15;AURELINO LOPES DOS SANTOS;MDB;MDB;Não eleito;NORDESTE;2814
AL;COITÉ DO NÓIA;Prefeito;23;KATIA VALERIE SILVA MONTEIRO;CIDADANIA;CIDADANIA / PRTB;Não eleito;NORDESTE;362
AL;COITÉ DO NÓIA;Prefeito;55;MAGNA CLEONE GUIMARÃES PEDROSA;PSD;PSD;Não eleito;NORDESTE;200
AL;COLÔNIA LEOPOLDINA;Prefeito;15;MANUILSON ANDRADE SANTOS;MDB;MDB / PP / PT;Eleito;NORDESTE;6075
AL;COLÔNIA LEOPOLDINA;Prefeito;45;RUBENS SEVERINO DA SILVA;PSDB;REPUBLICANOS / PDT / PSDB / DEM;Não eleito;NORDESTE;4427
AL;COQUEIRO SECO;Prefeito;15;MARIA DECELE DAMASO DE ALMEIDA;MDB;PTB / MDB / PSD;Eleito;NORDESTE;2387
AL;COQUEIRO SECO;Prefeito;33;YCARO ROQUE SANTOS DE ARCHANJO;PMN;PMN / DEM;Não eleito;NORDESTE;542
AL;COQUEIRO SECO;Prefeito;90;RENATO TADEU FRAGOSO E SILVA;PROS;PT / PROS / PL;Não eleito;NORDESTE;1168
AL;CORURIPE;Prefeito;11;MARCELO BELTRÃO SIQUEIRA;PP;PDT / PP / PL / PSL / SOLIDARIEDADE;Eleito;NORDESTE;16038
AL;CORURIPE;Prefeito;15;MAYKON BELTRÃO LIMA SIQUEIRA;MDB;MDB / PTB / DEM / PSB / PROS / PSD;Não eleito;NORDESTE;12221
AL;CRAÍBAS;Prefeito;11;TEOFILO JOSE BARROSO PEREIRA;PP;PP / DEM;Eleito;NORDESTE;7784
AL;CRAÍBAS;Prefeito;15;EDIEL BARBOSA LIMA;MDB;MDB / PSD;Não eleito;NORDESTE;7096
AL;CRAÍBAS;Prefeito;45;ALEX VAGNER NUNES DA SILVA;PSDB;PSDB;Não eleito;NORDESTE;95
AL;DELMIRO GOUVEIA;Prefeito;14;CARLOS GABRIEL VARJÃO CORREIA DA SILVA;PTB;PTB;Não eleito;NORDESTE;548
AL;DELMIRO GOUVEIA;Prefeito;15;ELIZIANE FERREIRA COSTA;MDB;MDB / PSC / AVANTE;Eleito;NORDESTE;10948
AL;DELMIRO GOUVEIA;Prefeito;40;RENATO DAVID TORRES DE OLIVEIRA;PSB;PSB / PROS;Não eleito;NORDESTE;4902
AL;DELMIRO GOUVEIA;Prefeito;45;DOMINGOS SAVIO CARVALHO BEZERRA;PSDB;PSDB;Não eleito;NORDESTE;1679
AL;DELMIRO GOUVEIA;Prefeito;55;ERALDO JOAQUIM CORDEIRO;PSD;SOLIDARIEDADE / PP / PSD / PT;Não eleito;NORDESTE;8989
AL;DOIS RIACHOS;Prefeito;14;JORGE VIEIRA DE MENEZES;PTB;PTB;Não eleito;NORDESTE;3395
AL;DOIS RIACHOS;Prefeito;15;RAMON CAMILO SILVA;MDB;PDT / MDB;Eleito;NORDESTE;3625
AL;ESTRELA DE ALAGOAS;Prefeito;11;ALDO LIRA DE JESUS;PP;PP / DEM;Eleito;NORDESTE;4767
AL;ESTRELA DE ALAGOAS;Prefeito;14;JAMES RIBEIRO SAMPAIO CALADO MONTEIRO;PTB;PTB;Não eleito;NORDESTE;3019
AL;FEIRA GRANDE;Prefeito;11;FLÁVIO MAURICIO MACHADO;PP;PP;Não eleito;NORDESTE;771
AL;FEIRA GRANDE;Prefeito;15;VERIDIANO ALMIR LIRA SOARES;MDB;MDB / CIDADANIA;Não eleito;NORDESTE;6374
AL;FEIRA GRANDE;Prefeito;20;FLAVIO RANGEL APOSTOLO LIRA;PSC;PSC;Eleito;NORDESTE;6595
AL;FELIZ DESERTO;Prefeito;11;ROSIANA LIMA BELTRÃO SIQUEIRA;PP;MDB / PP / PSD;Eleito;NORDESTE;1453
AL;FELIZ DESERTO;Prefeito;25;IRAN CASTRO SIMÕES;DEM;CIDADANIA / DEM;Não eleito;NORDESTE;1226
AL;FELIZ DESERTO;Prefeito;70;ALEANDRA DE OLIVEIRA SANTOS;AVANTE;AVANTE / PT;Não eleito;NORDESTE;50
AL;FLEXEIRAS;Prefeito;11;SILVANA MARIA CAVALCANTE DA COSTA PINTO;PP;PROS / PP / MDB / PT / DEM;Eleito;NORDESTE;3166
AL;FLEXEIRAS;Prefeito;14;LUIZ ANDRÉ CORREIA DE OLIVEIRA;PTB;PTB;Não eleito;NORDESTE;2718
AL;GIRAU DO PONCIANO;Prefeito;13;ROBERTO PEREIRA MARTINS;PT;PT;Não eleito;NORDESTE;823
AL;GIRAU DO PONCIANO;Prefeito;15;DAVID RAMOS DE BARROS;MDB;PP / MDB / PSB / PSD / SOLIDARIEDADE;Eleito;NORDESTE;14956
AL;GIRAU DO PONCIANO;Prefeito;18;ERIVALDO FERREIRA DOS SANTOS;REDE;REDE;Não eleito;NORDESTE;309
AL;GIRAU DO PONCIANO;Prefeito;45;REMI BISPO DOS SANTOS;PSDB;PSDB;Não eleito;NORDESTE;3064
AL;IBATEGUARA;Prefeito;14;EDNALDO FERREIRA CLAUDIO;PTB;PTB;Não eleito;NORDESTE;206
AL;IBATEGUARA;Prefeito;15;LUCINÉA LAURENTINO FELIX DA SILVA;MDB;MDB;Eleito;NORDESTE;4325
AL;IBATEGUARA;Prefeito;40;CEZAR AUGUSTO COSME MARTINS;PSB;PSB / AVANTE;Não eleito;NORDESTE;396
AL;IBATEGUARA;Prefeito;55;EDJA MARIA CAVALCANTI SANTOS DE SÁ;PSD;DEM / PSD;Não eleito;NORDESTE;3355
AL;IGACI;Prefeito;11;EDIVAL VIEIRA GAIA FILHO;PP;PP / PROS / REPUBLICANOS / MDB;Não eleito;NORDESTE;5474
AL;IGACI;Prefeito;14;JOSÉ PETRÚCIO OLIVEIRA BARBOSA;PTB;CIDADANIA / PTB;Eleito;NORDESTE;8099
AL;IGACI;Prefeito;55;RONALDO DA SILVA CAVALCANTE;PSD;PSD;Não eleito;NORDESTE;225
AL;IGREJA NOVA;Prefeito;10;MAURICIO RICHARDSON BERNARDINO DO NASCIMENTO;REPUBLICANOS;REPUBLICANOS / PDT;Não eleito;NORDESTE;5413
AL;IGREJA NOVA;Prefeito;15;VERÔNICA DANTAS LIMA E SILVA;MDB;MDB / PP;Eleito;NORDESTE;6671
AL;IGREJA NOVA;Prefeito;18;ERNESTINA BATISTA LUZ;REDE;REDE;Não eleito;NORDESTE;284
AL;IGREJA NOVA;Prefeito;90;VALÉRIO JOSÉ BARRETO BELTRÃO;PROS;PROS;Não eleito;NORDESTE;499
