sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
SP;NIPOÃ;Prefeito;14;DULCINEIA APARECIDA GUIMARAES;PTB;REPUBLICANOS / PTB / CIDADANIA;Não eleito;SUDESTE;952
SP;NIPOÃ;Prefeito;17;EDUARDO FRANCISCO DE MELO;PSL;PSL / PV;Não eleito;SUDESTE;414
SP;NIPOÃ;Prefeito;45;JOSÉ PEDRO RAMPIM;PSDB;PSDB / PATRIOTA;Eleito;SUDESTE;961
SP;NIPOÃ;Prefeito;77;MARCOS VINICIUS ALVES TEIXEIRA;SOLIDARIEDADE;SOLIDARIEDADE / PDT;Não eleito;SUDESTE;735
SP;NOVA ALIANÇA;Prefeito;10;ANTONIO RAIMUNDO FEDOSSI;REPUBLICANOS;REPUBLICANOS;Não eleito;SUDESTE;72
SP;NOVA ALIANÇA;Prefeito;12;VANDIL BAPTISTA CASEMIRO;PDT;PDT / PODE;Não eleito;SUDESTE;1048
SP;NOVA ALIANÇA;Prefeito;45;JURANDIR BARBOSA DE MORAIS;PSDB;PSDB / MDB;Eleito;SUDESTE;1695
SP;NOVA ALIANÇA;Prefeito;70;JAIME ANTÔNIO CABRERA HELU;AVANTE;AVANTE;Não eleito;SUDESTE;909
SP;NOVA CAMPINA;Prefeito;14;JUCEMARA FORTES DO NASCIMENTO;PTB;PP / PSD / PTB;Eleito;SUDESTE;3632
SP;NOVA CANAÃ PAULISTA;Prefeito;10;EDSON LUIZ ALVES HORTENCIO;REPUBLICANOS;REPUBLICANOS / PATRIOTA;Não eleito;SUDESTE;311
SP;NOVA CANAÃ PAULISTA;Prefeito;15;SILVIA CRISTINA GARCIA PIERRI;MDB;MDB;Não eleito;SUDESTE;631
SP;NOVA CANAÃ PAULISTA;Prefeito;45;THAIS CRISTINA COSTA MOREIRA;PSDB;PSDB;Eleito;SUDESTE;743
SP;NOVA CASTILHO;Prefeito;10;CARLOS ALBERTO DE SOUZA SILVA;REPUBLICANOS;REPUBLICANOS;Não eleito;SUDESTE;79
SP;NOVA CASTILHO;Prefeito;15;LUCIO MAURO GARCIA;MDB;MDB;Eleito;SUDESTE;537
SP;NOVA EUROPA;Prefeito;14;LUIZ CARLOS DOS SANTOS;PTB;PTB / PSD / PROS;Eleito;SUDESTE;3182
SP;NOVA EUROPA;Prefeito;22;OVIDIO APARECIDO SOARES ARAUJO;PL;PL / DEM / PSDB;Não eleito;SUDESTE;1261
SP;NOVA EUROPA;Prefeito;51;ERIK JOSE BURKOWSKI;PATRIOTA;MDB / PATRIOTA;Não eleito;SUDESTE;829
SP;NOVA GRANADA;Prefeito;12;SERGIO RODRIGO DE CONTI;PDT;PDT;Não eleito;SUDESTE;165
SP;NOVA GRANADA;Prefeito;13;ROGERIO CASTEJON;PT;PT;Não eleito;SUDESTE;302
SP;NOVA GRANADA;Prefeito;45;ROSEMAR APARECIDA ALVES;PSDB;PSDB / MDB / DEM;Não eleito;SUDESTE;3145
SP;NOVA GRANADA;Prefeito;51;RONALDO CARVALHO DE SOUZA;PATRIOTA;PATRIOTA / PSB;Não eleito;SUDESTE;386
SP;NOVA GRANADA;Prefeito;55;TANIA LIANA TOLEDO YUGAR;PSD;REPUBLICANOS / PP / PTB / PSL / PODE / PL / PSD;Eleito;SUDESTE;6941
SP;NOVA GUATAPORANGA;Prefeito;25;MARCIO BERTIPAGLIA;DEM;DEM;Não eleito;SUDESTE;486
SP;NOVA GUATAPORANGA;Prefeito;43;VAGNER ALVES DE LIMA;PV;MDB / CIDADANIA / PV;Eleito;SUDESTE;698
SP;NOVA GUATAPORANGA;Prefeito;45;JOSE VISCARDI GOUVEIA DIAS;PSDB;PSDB;Não eleito;SUDESTE;496
SP;NOVA INDEPENDÊNCIA;Prefeito;14;FERNANDO MACCHI SANTANA;PTB;CIDADANIA / PTB / PV;Eleito;SUDESTE;1539
SP;NOVA INDEPENDÊNCIA;Prefeito;22;GILBERTO SOARES PINHEIRO;PL;PL;Não eleito;SUDESTE;77
SP;NOVA INDEPENDÊNCIA;Prefeito;45;THAUANA DA SILVA DUARTE JOANINI;PSDB;PSDB / DEM / MDB;Não eleito;SUDESTE;1081
SP;NOVA LUZITÂNIA;Prefeito;14;MIGUEL JOSÉ ARAÚJO JUNIOR;PTB;MDB / PTB;Eleito;SUDESTE;1239
SP;NOVA LUZITÂNIA;Prefeito;45;LAERTE APARECIDO ROCHA;PSDB;DEM / PSDB;Não eleito;SUDESTE;1039
SP;NOVA LUZITÂNIA;Prefeito;51;DIRCEU ELIAS DA SILVA;PATRIOTA;PATRIOTA;Não eleito;SUDESTE;16
SP;NOVA ODESSA;Prefeito;15;VLADIMIR ANTONIO DA FONSECA;MDB;MDB;Não eleito;SUDESTE;335
