sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
AM;MANAUS;Prefeito;22;ALBERTO BARROS CAVALCANTE NETO;PL;PL / NOVO;2;Não eleito;NORTE;479297
AM;MANAUS;Prefeito;70;DAVID ANTONIO ABISAI PEREIRA DE ALMEIDA;AVANTE;AGIR / PSD / DC / AVANTE / MDB;2;Eleito;NORTE;576171
BA;CAMAÇARI;Prefeito;13;LUIZ CARLOS CAETANO;PT;AVANTE / PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSD / SOLIDARIEDADE / PODE / Federação PSOL REDE (PSOL / REDE);2;Eleito;NORDESTE;80626
BA;CAMAÇARI;Prefeito;44;FLÁVIO MARCUS DE AZEVEDO REIS;UNIÃO;UNIÃO / PP / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PRD / PL / PDT / REPUBLICANOS;2;Não eleito;NORDESTE;77724
CE;CAUCAIA;Prefeito;13;WALDEMIR CATANHO DE SENA JUNIOR;PT;REPUBLICANOS / PSB / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / Federação PSOL REDE (PSOL / REDE) / AGIR;2;Não eleito;NORDESTE;72014
CE;CAUCAIA;Prefeito;55;NAUMI GOMES DE AMORIM;PSD;MDB / PODE / PRD / DC / PRTB / PMB / PSD / AVANTE;2;Eleito;NORDESTE;109835
CE;FORTALEZA;Prefeito;13;EVANDRO SA BARRETO LEITAO;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PP / PSB / PSD / REPUBLICANOS / MDB;2;Eleito;NORDESTE;716133
CE;FORTALEZA;Prefeito;22;ANDRE FERNANDES DE MOURA;PL;PL;2;Não eleito;NORDESTE;705295
ES;SERRA;Prefeito;10;PABLO AURINO RAMOS ARAUJO;REPUBLICANOS;REPUBLICANOS / PRD / PSD / DC;2;Não eleito;SUDESTE;90227
ES;SERRA;Prefeito;12;WEVERSON VALCKER MEIRELES;PDT;PDT / MDB / PODE / PSB / Federação PSOL REDE (PSOL / REDE) / UNIÃO;2;Eleito;SUDESTE;138071
