sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
MA;SÃO LUÍS;Prefeito;19;EDUARDO SALIM BRAIDE;PODE;PODE / PSD / PMN / PSC / PSDB;2;Eleito;NORDESTE;270557
MG;CONTAGEM;Prefeito;13;MARÍLIA APARECIDA CAMPOS;PT;PSB / PT / MDB / PC do B;2;Eleito;SUDESTE;147768
MG;CONTAGEM;Prefeito;25;FELIPE MAURICIO SALIBA DE SOUZA;DEM;SOLIDARIEDADE / PODE / DEM / PSD / PP / PROS;2;Não eleito;SUDESTE;139987
MG;GOVERNADOR VALADARES;Prefeito;20;LUCIANO DE OLIVEIRA E SILVA;PSC;CIDADANIA / PROS / PSC;2;Não eleito;SUDESTE;52515
MG;GOVERNADOR VALADARES;Prefeito;45;ANDRÉ LUIZ COELHO MERLO;PSDB;PDT / PSDB / MDB / PODE / DEM / PTC / PV;2;Eleito;SUDESTE;71764
MG;JUIZ DE FORA;Prefeito;13;MARIA MARGARIDA MARTINS SALOMÃO;PT;PT / PV;2;Eleito;SUDESTE;144529
MG;JUIZ DE FORA;Prefeito;40;WILSON REZENDE FRANCO;PSB;PSB / DEM / PL / PSD / CIDADANIA;2;Não eleito;SUDESTE;118349
MG;UBERABA;Prefeito;14;ANTONIO CARLOS SILVA NUNES;PTB;REDE / PSDB / PMN / PTB / DC / REPUBLICANOS / PROS / PL;2;Não eleito;SUDESTE;63932
MG;UBERABA;Prefeito;77;ELISA GONÇALVES DE ARAÚJO;SOLIDARIEDADE;SOLIDARIEDADE;2;Eleito;SUDESTE;85990
MT;CUIABÁ;Prefeito;15;EMANUEL PINHEIRO;MDB;PMB / PTC / SOLIDARIEDADE / PV / REPUBLICANOS / PL / PSDB / MDB / PTB / PP / PC do B;2;Eleito;CENTRO-OESTE;135871
MT;CUIABÁ;Prefeito;19;ABILIO JACQUES BRUNINI MOUMER;PODE;CIDADANIA / PSC / PODE;2;Não eleito;CENTRO-OESTE;129777
PA;BELÉM;Prefeito;50;EDMILSON BRITO RODRIGUES;PSOL;PT / REDE / UP / PC do B / PSOL / PDT;2;Eleito;NORTE;390723
PA;BELÉM;Prefeito;51;EVERALDO JORGE MARTINS EGUCHI;PATRIOTA;PATRIOTA;2;Não eleito;NORTE;364095
PA;SANTARÉM;Prefeito;13;MARIA DO CARMO MARTINS LIMA;PT;PT / PSB / PC do B / PP / PROS / REDE;2;Não eleito;NORTE;63869
PA;SANTARÉM;Prefeito;25;FRANCISCO NÉLIO AGUIAR DA SILVA;DEM;REPUBLICANOS / PTB / CIDADANIA / PMB / PSD / AVANTE / PODE / PL / SOLIDARIEDADE / DEM / MDB;2;Eleito;NORTE;92732
PB;JOÃO PESSOA;Prefeito;11;CICERO DE LUCENA FILHO;PP;PP / PTB / REPUBLICANOS / PTC / PMN / AVANTE / PRTB / CIDADANIA / PMB;2;Eleito;NORDESTE;185055
PB;JOÃO PESSOA;Prefeito;15;NILVAN FERREIRA DO NASCIMENTO;MDB;MDB;2;Não eleito;NORDESTE;163030
PE;PAULISTA;Prefeito;15;YVES RIBEIRO DE ALBUQUERQUE;MDB;REDE / MDB / PV;2;Eleito;NORDESTE;83858
PE;PAULISTA;Prefeito;40;FRANCISCO AFONSO PADILHA DE MELO;PSB;PMB / PMN / PATRIOTA / PTC / PSL / PT / PL / PSB / PROS / PSC / CIDADANIA / PC do B / DC;2;Não eleito;NORDESTE;61931
PE;RECIFE;Prefeito;13;MARILIA VALENÇA ROCHA ARRAES DE ALENCAR;PT;PSOL / PTC / PMB / PT;2;Não eleito;NORDESTE;348126
