sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;cd_cargo;nm_regiao;qt_votos_nom_validos
GO;GOIANDIRA;Prefeito;15;ALLISON HENRIQUE BARBOSA PEIXOTO;MDB;MDB / UNIÃO / PDT / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;CENTRO-OESTE;2670
SP;IBIÚNA;Prefeito;13;ALLEPHY JHONATTA ZANATTA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;1055
RO;NOVA MAMORÉ;Prefeito;28;ALLEN CLEITON PADILHA DO PRADO;PRTB;PRTB / PODE / NOVO / AGIR;Não eleito;11;NORTE;5270
MA;MIRANDA DO NORTE;Prefeito;45;ALLANA MARIA CASTELO BRANCO ABREU;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSB / MDB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;6275
MG;SÃO ROMÃO;Prefeito;15;ALLAN SOARES CARDOSO;MDB;MDB / PP / PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUDESTE;3266
GO;CRIXÁS;Prefeito;15;ALLAN PAES XAVIER;MDB;MDB / SOLIDARIEDADE / REPUBLICANOS / PP;Eleito;11;CENTRO-OESTE;6120
SC;BRAÇO DO NORTE;Prefeito;55;ALLAN LOPES PRUDÊNCIO;PSD;PSD / PODE;Não eleito;11;SUL;6607
RN;CAIÇARA DO NORTE;Prefeito;10;ALLAN FILIPE DE ASSIS CRUZ;REPUBLICANOS;REPUBLICANOS / PDT;Não eleito;11;NORDESTE;2099
PB;QUIXABA;Prefeito;10;ALLAN D'LLON CANDEIA DE MACEDO;REPUBLICANOS;REPUBLICANOS;Eleito;11;NORDESTE;1841
AL;PORTO DE PEDRAS;Prefeito;15;ALLAN DE JESUS SILVA;MDB;MDB / PSB / PSD;Eleito;11;NORDESTE;3691
MG;DOM CAVATI;Prefeito;22;ALLAN DA SILVA VEIGA;PL;PL / MDB;Não eleito;11;SUDESTE;1367
MA;BOM JESUS DAS SELVAS;Prefeito;30;ALLAN ANTÔNIO LIMA MANGUEIRA;NOVO;NOVO;Não eleito;11;NORDESTE;772
RS;SOLEDADE;Prefeito;13;ALISSON FERRONATO DOS SANTOS;PT;PDT / PSB / UNIÃO / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;5848
CE;ITAREMA;Prefeito;55;ALISANDRE MIRANDA COELHO;PSD;MDB / PSD;Não eleito;11;NORDESTE;8333
PR;FRANCISCO ALVES;Prefeito;55;ALIRIO JOSÉ MISTURA;PSD;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSB / PSD;Eleito;11;SUL;2690
PB;ALAGOINHA;Prefeito;15;ALIRIO CLAUDINO DE PONTES FILHO;MDB;PP / MDB / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSD;Eleito;11;NORDESTE;5346
BA;IPIAÚ;Prefeito;44;ALIPIO ALVES DE OLIVEIRA JUNIOR;UNIÃO;UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PODE / REPUBLICANOS / PL / PDT;Não eleito;11;NORDESTE;10664
RS;ALEGRIA;Prefeito;44;ALIONES LUCAS CAVALINI;UNIÃO;UNIÃO;Não eleito;11;SUL;256
MG;OURO VERDE DE MINAS;Prefeito;55;ALINY GONÇALVES BATISTA;PSD;PSD / PDT;Não eleito;11;SUDESTE;228
PB;CRUZ DO ESPÍRITO SANTO;Prefeito;44;ALINY CIBELY CUNHA DA SILVA FARIAS;UNIÃO;REPUBLICANOS / UNIÃO;Eleito;11;NORDESTE;9893
MG;UNAÍ;Prefeito;45;ALINO PEREIRA COELHO;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PP / MDB / AVANTE / PDT;Não eleito;11;SUDESTE;5380
MG;FRANCISCO SÁ;Prefeito;13;ALINI FERNANDA BICALHO NORONHA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PP / MOBILIZA;Eleito;11;SUDESTE;7615
MA;PRESIDENTE JUSCELINO;Prefeito;44;ALINE SANTOS DINIZ DA ROCHA;UNIÃO;UNIÃO / PSD / SOLIDARIEDADE / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;NORDESTE;2026
RS;TEUTÔNIA;Prefeito;22;ALINE RÖHRIG KOHL;PL;PL;Não eleito;11;SUL;1961
AP;MACAPÁ;Prefeito;10;ALINE PARANHOS VARONIL GURGEL;REPUBLICANOS;REPUBLICANOS / PL;Não eleito;11;NORTE;8897
RJ;PARACAMBI;Prefeito;22;ALINE OTILIA SOARES FERREIRA BENEVENUTO;PL;MDB / UNIÃO / PL;Não eleito;11;SUDESTE;8693
SP;HORTOLÂNDIA;Prefeito;27;ALINE NUNES DE JESUS FALANGO;DC;DC;Não eleito;11;SUDESTE;1294
MA;AMAPÁ DO MARANHÃO;Prefeito;15;ALINE LEONIDAS SOUSA DE LACERDA;MDB;MDB / AVANTE;Não eleito;11;NORDESTE;1953
PE;ITAPETIM;Prefeito;40;ALINE KARINA ALVES DA COSTA;PSB;PSB / AVANTE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;6111
MG;JORDÂNIA;Prefeito;15;ALINE FERREIRA LIMA DA SILVA;MDB;MDB / PSB;Não eleito;11;SUDESTE;2136
