sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;cd_cargo;nm_regiao;qt_votos_nom_validos
MA;ALTO ALEGRE DO PINDARÉ;Prefeito;10;ZOZIMO AUGUSTO NERES DE CARVALHO;REPUBLICANOS;REPUBLICANOS;Não eleito;11;NORDESTE;5604
BA;PRESIDENTE DUTRA;Prefeito;55;ZOROELIO PEREIRA MACHADO;PSD;PSD / PSB;Não eleito;11;NORDESTE;1086
BA;CONDE;Prefeito;13;ZIRONALDO NUNES BARROS;PT;REPUBLICANOS / PDT / MDB / PSB / PSD / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;6828
MG;TURMALINA;Prefeito;55;ZILMAR PINHEIRO LOPES;PSD;PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PODE / AVANTE / UNIÃO / PRD;Eleito;11;SUDESTE;8579
GO;SERRANÓPOLIS;Prefeito;11;ZILMAR FERREIRA DA SILVA CARVALHO;PP;PP / MDB;Eleito;11;CENTRO-OESTE;3658
CE;SENADOR SÁ;Prefeito;40;ZILMA SOUSA ARAUJO CORDEIRO;PSB;PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;1875
RS;CAIÇARA;Prefeito;15;ZÍLIO ROGGIA;MDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / MDB / PL;Eleito;11;SUL;1748
MG;TOLEDO;Prefeito;45;ZILDO ALEXANDRO DE OLIVEIRA;PSDB;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;3104
SP;SILVEIRAS;Prefeito;13;ZILDINEI CAMPOS DE OLIVEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;376
MG;CONSELHEIRO LAFAIETE;Prefeito;13;ZILDA HELENA DOS SANTOS VIEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;5022
RS;ROSÁRIO DO SUL;Prefeito;10;ZILASE JOBIM ARGEMI ROSSIGNOLLO;REPUBLICANOS;REPUBLICANOS / PP;Não eleito;11;SUL;6053
PA;SANTARÉM NOVO;Prefeito;55;ZEQUIAS BARROS CHAVES;PSD;PSD / PDT;Não eleito;11;NORTE;2603
BA;SÃO FÉLIX DO CORIBE;Prefeito;40;ZENUBIA ALVES DOS SANTOS;PSB;MDB / PODE / AVANTE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB / PDT / PSD;Não eleito;11;NORDESTE;4849
PI;MONSENHOR HIPÓLITO;Prefeito;55;ZENON DE MOURA BEZERRA;PSD;PSD / MDB;Não eleito;11;NORDESTE;3358
ES;SÃO MATEUS;Prefeito;13;ZENILZA APARECIDA BARROS PAULI;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;4947
GO;PLANALTINA;Prefeito;45;ZENILTON NERES DA COSTA;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PL / REPUBLICANOS;Não eleito;11;CENTRO-OESTE;11868
RO;JI-PARANÁ;Prefeito;20;ZENILTON FELBEK DE ALMEIDA;PODE;PODE;Não eleito;11;NORTE;794
BA;ITAETÉ;Prefeito;40;ZENILDO MATOS DE OLIVEIRA;PSB;PODE / SOLIDARIEDADE / PSB;Eleito;11;NORDESTE;5386
BA;JEQUIÉ;Prefeito;11;ZENILDO BRANDÃO SANTANA;PP;REPUBLICANOS / PP / PDT / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;NORDESTE;85219
MS;LAGUNA CARAPÃ;Prefeito;55;ZENAIDE ESPINDOLA FLORES;PSD;PODE / UNIÃO / PSD;Não eleito;11;CENTRO-OESTE;353
RS;SÃO LOURENÇO DO SUL;Prefeito;13;ZELMUTE OLIVEIRA PERES MARTEN;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUL;7498
RS;ESPUMOSO;Prefeito;12;ZELINDO SIGNOR NETO;PDT;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PDT / UNIÃO;Não eleito;11;SUL;4905
GO;ITAPIRAPUÃ;Prefeito;22;ZELIA CAMELO DE OLIVEIRA;PL;PDT / PL / AGIR / PSD;Não eleito;11;CENTRO-OESTE;2782
MA;SÍTIO NOVO;Prefeito;11;ZEIMAR TEIXEIRA DE ARRUDA MACIEL;PP;PP / UNIÃO / Federação PSOL REDE (PSOL / REDE);Não eleito;11;NORDESTE;4098
SP;ENGENHEIRO COELHO;Prefeito;55;ZEEDIVALDO ALVES DE MIRANDA;PSD;PSD;Não eleito;11;SUDESTE;876
BA;PÉ DE SERRA;Prefeito;44;ZEDIVAN DE FREITAS RIOS;UNIÃO;REPUBLICANOS / PDT / PL / UNIÃO / SOLIDARIEDADE;Eleito;11;NORDESTE;5506
PR;IMBITUVA;Prefeito;10;ZAQUEU LUIZ BOBATO;REPUBLICANOS;PP / PDT / PODE / PRD / REPUBLICANOS / PSB;Não eleito;11;SUL;2196
MG;SANTA RITA DE MINAS;Prefeito;10;ZANIA FARIA SILVA;REPUBLICANOS;REPUBLICANOS / SOLIDARIEDADE;Eleito;11;SUDESTE;1923
RS;VISTA ALEGRE;Prefeito;13;ZAIRO RIBOLI;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB / UNIÃO;Não eleito;11;SUL;1172
BA;CANAVIEIRAS;Prefeito;44;ZAIRO JACQUES PINTO LOUREIRO;UNIÃO;UNIÃO;Não eleito;11;NORDESTE;4044
RS;PINHEIRINHO DO VALE;Prefeito;45;ZAIRES DOMINGOS FACCIN;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUL;50
MG;VARGINHA;Prefeito;22;ZACARIAS ABRÃO PIVA;PL;PP / PODE / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / AGIR / PL / REPUBLICANOS;Não eleito;11;SUDESTE;6645
MG;CARMO DE MINAS;Prefeito;44;YURI VAZ DE OLIVEIRA;UNIÃO;PRD / UNIÃO;Não eleito;11;SUDESTE;1704
RJ;PETRÓPOLIS;Prefeito;50;YURI LUCAS CARIUS DE MOURA ALMEIDA;PSOL;Federação PSOL REDE (PSOL / REDE);2º turno;11;SUDESTE;28001
PB;JOÃO PESSOA;Prefeito;80;YURI EZEQUIEL DE LIMA SILVA;UP;UP;Não eleito;11;NORDESTE;2237
BA;PEDRO ALEXANDRE;Prefeito;11;YURI CESAR DE ANDRADE MENEZES;PP;PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PODE;Eleito;11;NORDESTE;4558
MA;CODÓ;Prefeito;55;YURI BRITO CORRÊA;PSD;PSD / NOVO / PMB;Não eleito;11;NORDESTE;2776
CE;GUARAMIRANGA;Prefeito;10;YNARA FURTADO VASCONCELOS MOTA;REPUBLICANOS;REPUBLICANOS / MDB / PODE / PSB;Eleito;11;NORDESTE;3045
GO;PIRENÓPOLIS;Prefeito;44;YNAE SIQUEIRA CURADO;UNIÃO;UNIÃO / SOLIDARIEDADE / REPUBLICANOS / NOVO;Não eleito;11;CENTRO-OESTE;6247
BA;OUROLÂNDIA;Prefeito;13;YHONARA ROCHA DE ALMEIDA FREIRE;PT;PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;5163
MA;SÃO LUÍS;Prefeito;28;YGLÉSIO LUCIANO MOYSES SILVA DE SOUZA;PRTB;PRTB;Não eleito;11;NORDESTE;18348
GO;FORMOSA;Prefeito;43;YASSER MARTINS YASSINE;PV;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;1216
RJ;SÃO FRANCISCO DE ITABAPOANA;Prefeito;77;YARA CINTHIA ROCHA NOGUEIRA;SOLIDARIEDADE;REPUBLICANOS / PP / PDT / SOLIDARIEDADE / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;15312
SP;CAÇAPAVA;Prefeito;20;YAN LOPES DE ALMEIDA;PODE;PSB / PODE;Eleito;11;SUDESTE;18223
AM;ANAMÃ;Prefeito;20;YAMILE VIANA DE SOUZA QUEIROZ;PODE;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PODE;Não eleito;11;NORTE;182
MT;CUIABÁ;Prefeito;22;ABILIO JACQUES BRUNINI MOUMER;PL;PL / NOVO / PRTB / DC;2º turno;11;CENTRO-OESTE;126944
SP;ITARARÉ;Prefeito;55;YAGO FELIPE FERREIRA RAPOSO;PSD;MDB / PODE / NOVO / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;SUDESTE;9215
ES;SERRA;Prefeito;30;WYLSON ZON FILHO;NOVO;NOVO;Não eleito;11;SUDESTE;919
PE;POÇÃO;Prefeito;40;WRIDES MENDES PAZ;PSB;PSB;Não eleito;11;NORDESTE;1269
PI;COCAL DOS ALVES;Prefeito;13;WODSON GIAN SILVA VIEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;3329
TO;MONTE DO CARMO;Prefeito;10;WLISSES JASON DE OLIVEIRA NEGRE;REPUBLICANOS;REPUBLICANOS / PP / NOVO;Não eleito;11;NORTE;1737
TO;PALMEIRÓPOLIS;Prefeito;12;WLISSES BARROS DE SOUZA;PDT;REPUBLICANOS / PDT / MDB;Eleito;11;NORTE;2370
MG;CACHOEIRA DE PAJEÚ;Prefeito;13;WLADIMIR MENDES LIMA;PT;PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;1342
BA;ARATACA;Prefeito;40;WLADIMIR KRISTOFFESON BOMFIM DE OLIVEIRA;PSB;AVANTE / PSB;Não eleito;11;NORDESTE;1313
RJ;CAMPOS DOS GOYTACAZES;Prefeito;11;WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA;PP;REPUBLICANOS / PP / PDT / MDB / PODE / PL / AGIR / AVANTE;Eleito;11;SUDESTE;192232
AL;CACIMBINHAS;Prefeito;15;WLADIMIR ARAÚJO WANDERLEY;MDB;MDB / PSB;Eleito;11;NORDESTE;6336
MS;DOIS IRMÃOS DO BURITI;Prefeito;15;WLADEMIR DE SOUZA VOLK;MDB;REPUBLICANOS / PP / PDT / MDB / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;CENTRO-OESTE;4651
GO;GAMELEIRA DE GOIÁS;Prefeito;22;WIVVIANE DE CARVALHO DUARTE TELES;PL;PDT / MDB / PL / UNIÃO;Eleito;11;CENTRO-OESTE;1643
GO;CORUMBAÍBA;Prefeito;15;WISNER ARAÚJO DE ALMEIDA;MDB;PP / PDT / MDB / DC / UNIÃO;Eleito;11;CENTRO-OESTE;3104
MG;PIEDADE DO RIO GRANDE;Prefeito;15;WISLEY ALISSOM MANGIA;MDB;MDB;Não eleito;11;SUDESTE;959
MT;CUIABÁ;Prefeito;13;LÚDIO FRANK MENDES CABRAL;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSD / Federação PSOL REDE (PSOL / REDE);2º turno;11;CENTRO-OESTE;90719
PI;PAVUSSU;Prefeito;55;WININCIUS VILANOVA DE MIRANDA;PSD;PSD;Eleito;11;NORDESTE;2786
BA;FEIRA DA MATA;Prefeito;40;WIM ROCHA TRINDADE;PSB;PSB;Não eleito;11;NORDESTE;1626
BA;MANOEL VITORINO;Prefeito;70;WILTON NERES DOS SANTOS;AVANTE;AVANTE;Não eleito;11;NORDESTE;102
PA;SAPUCAIA;Prefeito;15;WILTON MIRANDA DE LIMA;MDB;MDB / UNIÃO / PP / PODE / PL / PSB;Eleito;11;NORTE;4241
MG;VERDELÂNDIA;Prefeito;13;WILTON LEITE MADUREIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / SOLIDARIEDADE;Eleito;11;SUDESTE;2981
GO;POSSE;Prefeito;13;WILTON FERREIRA DA HORA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;641
PI;MASSAPÊ DO PIAUÍ;Prefeito;15;WILTON COUTINHO SILVA;MDB;MDB / REPUBLICANOS / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;3425
PB;CAAPORÃ;Prefeito;40;WILTON ALENCAR SANTOS DE SOUZA;PSB;REPUBLICANOS / PDT / MOBILIZA / PSB / PSD / Federação PSOL REDE (PSOL / REDE);Não eleito;11;NORDESTE;6350
PR;MARIA HELENA;Prefeito;11;WILSON SAVIO PAULINO;PP;PP / MDB;Não eleito;11;SUL;553
MG;ARAPORÃ;Prefeito;55;WILSON ROBERTO RIBEIRO;PSD;PDT / PSB / PSD / SOLIDARIEDADE;Eleito;11;SUDESTE;3271
BA;VERA CRUZ;Prefeito;55;WILSON RIBEIRO PEDREIRA FILHO;PSD;REPUBLICANOS / PMB / PSB / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;9889
SC;FRAIBURGO;Prefeito;22;WILSON RIBEIRO CARDOSO JUNIOR;PL;PL / PDT / PP / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUL;9953
SP;TUPÃ;Prefeito;55;WILSON QUILES JUNIOR;PSD;REPUBLICANOS / MDB / PL / PRD / UNIÃO / PSD / PP;Não eleito;11;SUDESTE;15207
BA;ANDARAÍ;Prefeito;40;WILSON PAES CARDOSO;PSB;PSB / PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;4244
RS;SINIMBU;Prefeito;40;WILSON MOLZ;PSB;PSB / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUL;2847
GO;BELA VISTA DE GOIÁS;Prefeito;13;WILSON MARCOS TELES;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;309
MG;PORTEIRINHA;Prefeito;77;WILSON MARCOS SOARES;SOLIDARIEDADE;SOLIDARIEDADE / MDB;Não eleito;11;SUDESTE;845
MG;ABAETÉ;Prefeito;45;WILSON MARCELO DA SILVA;PSDB;PDT / PP / PSB / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUDESTE;2497
MG;ITABIRITO;Prefeito;30;WILSON LUIZ DE OLIVEIRA;NOVO;NOVO;Não eleito;11;SUDESTE;177
SC;CORDILHEIRA ALTA;Prefeito;15;WILSON LUIZ DA SILVA;MDB;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / MDB;Eleito;11;SUL;2236
PA;MAGALHÃES BARATA;Prefeito;44;WILSON LUIZ ALVES FERREIRA;UNIÃO;PP / MDB / UNIÃO / PSD;Não eleito;11;NORTE;2523
BA;PALMAS DE MONTE ALTO;Prefeito;15;WILSON LIMA NASCIMENTO;MDB;MDB;Não eleito;11;NORDESTE;1565
RO;MINISTRO ANDREAZZA;Prefeito;22;WILSON LAURENTI;PL;PL / PP;Não eleito;11;NORTE;1372
SP;CAMPINAS;Prefeito;30;WILSON KELLER DE MATOS;NOVO;NOVO;Não eleito;11;SUDESTE;10013
TO;CRISTALÂNDIA;Prefeito;44;WILSON JUNIOR CARVALHO DE OLIVEIRA;UNIÃO;REPUBLICANOS / UNIÃO;Eleito;11;NORTE;2601
SP;BERNARDINO DE CAMPOS;Prefeito;55;WILSON JOSE GARCIA;PSD;PSD / REPUBLICANOS / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;3225
GO;MOIPORÁ;Prefeito;22;WILSON JOSÉ FERREIRA;PL;PL / PSD / PP / PRD / UNIÃO;Eleito;11;CENTRO-OESTE;1532
BA;PALMEIRAS;Prefeito;70;WILSON JOSE DA ROCHA;AVANTE;AVANTE / MDB;Eleito;11;NORDESTE;3911
SP;ONDA VERDE;Prefeito;55;WILSON JOSE CALDAS;PSD;PSD;Não eleito;11;SUDESTE;145
PE;IPUBI;Prefeito;20;WILSON FILHO MIRANDA LUCENA;PODE;PDT / PP / UNIÃO / PODE;Não eleito;11;NORDESTE;9030
SP;SERTÃOZINHO;Prefeito;55;WILSON FERNANDES PIRES FILHO;PSD;PDT / UNIÃO / PSD;Não eleito;11;SUDESTE;5338
PR;JATAIZINHO;Prefeito;12;WILSON FERNANDES;PDT;PP / PDT / PL / AVANTE / SOLIDARIEDADE / PSD;Eleito;11;SUL;3587
PB;JUAREZ TÁVORA;Prefeito;40;WILSON EVANGELISTA FEITOSA;PSB;PSB / MDB / PODE;Eleito;11;NORDESTE;4917
BA;IBITIARA;Prefeito;55;WILSON DOS SANTOS SOUZA;PSD;PSD / SOLIDARIEDADE;Eleito;11;NORDESTE;6673
AP;PEDRA BRANCA DO AMAPARI;Prefeito;25;WILSON DE SOUSA FILHO;PRD;PRD;Não eleito;11;NORTE;2437
MG;SÃO JOÃO DO PARAÍSO;Prefeito;22;WILSON DE OLIVEIRA SANTOS;PL;PL;Não eleito;11;SUDESTE;260
PR;SÃO JOSÉ DOS PINHAIS;Prefeito;13;WILSON DE OLIVEIRA ROCHA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;6772
MG;MARTINHO CAMPOS;Prefeito;70;WILSON CORREA ALVES AFONSO DE CARVALHO;AVANTE;AVANTE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PDT / PRD / PSB / REPUBLICANOS;Eleito;11;SUDESTE;3075
SP;SÃO JOSÉ DOS CAMPOS;Prefeito;12;WILSON CABRAL DE SOUSA JUNIOR;PDT;PDT;Não eleito;11;SUDESTE;8710
PR;RAMILÂNDIA;Prefeito;15;WILSON BONAMIGO;MDB;MDB / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PDT / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;1006
PR;LUIZIANA;Prefeito;55;WILSON ANTONIO TURECK;PSD;PSD / PL;Não eleito;11;SUL;1619
ES;BREJETUBA;Prefeito;22;WILSON AMBROZIM;PL;PL;Não eleito;11;SUDESTE;2803
CE;IPAUMIRIM;Prefeito;55;WILSON ALVES DE FREITAS;PSD;PSD / REPUBLICANOS / MDB / PSB / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;NORDESTE;6117
BA;PRADO;Prefeito;11;WILSON ALVES DE BRITO FILHO;PP;PP / PDT / UNIÃO / AVANTE / PRD;Não eleito;11;NORDESTE;6196
SP;RIFAINA;Prefeito;55;WILSON ALVES DA SILVA JUNIOR;PSD;PP / PSD;Eleito;11;SUDESTE;2371
PR;QUARTO CENTENÁRIO;Prefeito;22;WILSON AKIO ABE;PL;PP / MDB / PL / PSD;Eleito;11;SUL;2311
PI;COLÔNIA DO GURGUÉIA;Prefeito;20;WILON PINHEIRO GUIMARÃES;PODE;PODE;Não eleito;11;NORDESTE;201
RS;CANDELÁRIA;Prefeito;12;WILMAR REDISKE;PDT;PDT;Não eleito;11;SUL;478
GO;COCALZINHO DE GOIÁS;Prefeito;15;WILMAR NOEL DA CRUZ MONTES;MDB;MDB / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PDT / PP / PODE;Não eleito;11;CENTRO-OESTE;4336
PB;FAGUNDES;Prefeito;40;WILMAR LEMOS MARANHÃO JÚNIOR;PSB;PSB / PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;4991
SC;VIDEIRA;Prefeito;15;WILMAR CARELLI;MDB;MDB / PODE / UNIÃO;Eleito;11;SUL;14628
MG;SÃO JOSÉ DA SAFIRA;Prefeito;45;WILLIS APARECIDO ALVES;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / MDB / UNIÃO;Eleito;11;SUDESTE;2167
SP;JUQUITIBA;Prefeito;15;WILLIANS SOARES RODRIGUES;MDB;PDT / MDB / PRD / PSB / SOLIDARIEDADE / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;9151
GO;CRIXÁS;Prefeito;35;WILLIAN XAVIER MACHADO;PMB;PMB;Não eleito;11;CENTRO-OESTE;63
GO;APARECIDA DE GOIÂNIA;Prefeito;40;WILLIAN RODRIGUES FIGUEIREDO;PSB;PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / Federação PSOL REDE (PSOL / REDE);Não eleito;11;CENTRO-OESTE;20443
MG;CARNEIRINHO;Prefeito;10;WILLIAN MARTINS MAIA;REPUBLICANOS;REPUBLICANOS / PP / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;3655
MG;PRUDENTE DE MORAIS;Prefeito;77;WILLIAN LIMEIRA DOS SANTOS;SOLIDARIEDADE;SOLIDARIEDADE;Não eleito;11;SUDESTE;639
MG;BAMBUÍ;Prefeito;22;WILLIAN DOUGLAS HUMIA MENEZES;PL;PL;Não eleito;11;SUDESTE;2017
SC;ITAPEMA;Prefeito;13;WILLIAN DIÓGENES MEISTER;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUL;2188
ES;SOORETAMA;Prefeito;44;WILLIAN CONSTANTINO BASSANI;UNIÃO;PP / PRD / PSB / UNIÃO / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;2944
PR;SANTA CRUZ DE MONTE CASTELO;Prefeito;22;WILLIAN CEZAR VIEGA;PL;PL / PSD / PODE;Eleito;11;SUL;3625
CE;INDEPENDÊNCIA;Prefeito;13;WILLIAM VIEIRA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / REPUBLICANOS;Eleito;11;NORDESTE;10940
MT;CUIABÁ;Prefeito;44;JOSÉ EDUARDO BOTELHO;UNIÃO;UNIÃO / REPUBLICANOS / PP / PODE / PMB / PSB / SOLIDARIEDADE / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;CENTRO-OESTE;88977
MG;ANTÔNIO DIAS;Prefeito;22;WILLIAM ROBSON MARQUES FRAGA;PL;PL / UNIÃO;Não eleito;11;SUDESTE;2528
SP;BANANAL;Prefeito;10;WILLIAM LANDIM DA SILVA;REPUBLICANOS;REPUBLICANOS / MDB / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;4416
PR;GRANDES RIOS;Prefeito;20;WILLIAM JOSÉ GONÇALVES;PODE;PODE;Eleito;11;SUL;2073
MG;SENADOR FIRMINO;Prefeito;44;WILLIAM FERNANDES MUSSI;UNIÃO;UNIÃO / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;2602
SP;SUMARÉ;Prefeito;13;WILLIAM DE SOUZA ROSA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / UNIÃO / PDT / PSB / AVANTE / PRD;2º turno;11;SUDESTE;40550
MT;VÁRZEA GRANDE;Prefeito;22;FLAVIA PETERSEN MORETTI DE ARAUJO;PL;PL / PODE / DC / PRTB;Eleito;11;CENTRO-OESTE;68760
SC;URUPEMA;Prefeito;15;WILLIAM ANDRADE WRUBLESCHI;MDB;MDB;Não eleito;11;SUL;659
MG;DIVINOLÂNDIA DE MINAS;Prefeito;10;WILLER CESAR FIGUEIREDO SILVA;REPUBLICANOS;PMB / AVANTE / REPUBLICANOS;Não eleito;11;SUDESTE;1035
SE;UMBAÚBA;Prefeito;36;WILLEMBERG SANTOS ALVES;AGIR;AGIR;Não eleito;11;NORDESTE;288
GO;BOM JARDIM DE GOIÁS;Prefeito;44;WILLAN GREGÓRIO NETO;UNIÃO;PP / MDB / UNIÃO / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;3029
MT;VÁRZEA GRANDE;Prefeito;15;KALIL SARAT BARACAT DE ARRUDA;MDB;REPUBLICANOS / PP / PDT / MDB / PRD / NOVO / AGIR / PSB / UNIÃO / PSD / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Não eleito;11;CENTRO-OESTE;61005
SP;PORTO FELIZ;Prefeito;28;WILIANS MELARE;PRTB;PRTB;Não eleito;11;SUDESTE;2174
PI;PADRE MARCOS;Prefeito;55;WILIANE KELLY DA SILVA;PSD;PSD;Eleito;11;NORDESTE;4328
SP;ÁGUAS DE SANTA BÁRBARA;Prefeito;44;WILIAN JOSÉ DE OLIVEIRA MEANA;UNIÃO;UNIÃO / SOLIDARIEDADE;Eleito;11;SUDESTE;1680
MG;CONCEIÇÃO DE IPANEMA;Prefeito;22;WILIAN FRANCISCO DE SOUZA;PL;PL / AVANTE;Eleito;11;SUDESTE;2118
MG;SANTA BÁRBARA DO LESTE;Prefeito;55;WILIAN DE FARIA;PSD;PSD;Não eleito;11;SUDESTE;363
PA;QUATIPURU;Prefeito;44;WILDSON DA COSTA REGO;UNIÃO;REPUBLICANOS / PSB / UNIÃO;Não eleito;11;NORTE;3119
MG;ITAPAGIPE;Prefeito;22;WILDIRLEI QUEIROZ MENEZES BARBOSA;PL;PL;Não eleito;11;SUDESTE;3197
TO;ARAGUACEMA;Prefeito;12;WILDENNER GONÇALVES MARINHO;PDT;PDT / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSB;Não eleito;11;NORTE;1239
PI;GILBUÉS;Prefeito;27;WILBERTY DA SILVA SILVEIRA;DC;DC;Não eleito;11;NORDESTE;974
MG;BELA VISTA DE MINAS;Prefeito;25;WILBER JOSE DE SOUZA;PRD;PRD / PDT / PP / MOBILIZA;Não eleito;11;SUDESTE;1639
SC;ABELARDO LUZ;Prefeito;22;WILAMIR DOMINGOS CAVASSINI;PL;PP / REPUBLICANOS / PL / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSD;Não eleito;11;SUL;4548
SP;INDIANA;Prefeito;11;WHESLEN THIEGO SCAIONE CACHOEIRA;PP;PP / MDB;Eleito;11;SUDESTE;1322
MG;BRAÚNAS;Prefeito;12;WEYNE VIRGILIO DE CARVALHO;PDT;PP / PDT / PRD / MDB / DC;Eleito;11;SUDESTE;1747
PR;CAMPO DO TENENTE;Prefeito;44;WEVERTON WILLIAN VIZENTIN;UNIÃO;MDB / PL / UNIÃO;Eleito;11;SUL;3516
SE;SÃO FRANCISCO;Prefeito;55;WEVERTON VIEIRA NASCIMENTO;PSD;PSD / REPUBLICANOS;Não eleito;11;NORDESTE;1462
PR;JARDIM OLINDA;Prefeito;11;WEVERTON JOSÉ DOS SANTOS LIMA;PP;PP / PSD / REPUBLICANOS / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;SUL;817
ES;SERRA;Prefeito;12;WEVERSON VALCKER MEIRELES;PDT;PDT / MDB / PODE / PSB / Federação PSOL REDE (PSOL / REDE) / UNIÃO;2º turno;11;SUDESTE;97087
